filename,timestamp_ms,algorithm,diameterMain_px,diameterSec_px,undistortedDiameterMain_px,undistortedDiameterSec_px,physicalDiameter_mm,widthMain_px,heightMain_px,axisRatioMain,widthSec_px,heightSec_px,axisRatioSec,centerMain_x,centerMain_y,centerSec_x,centerSec_y,angleMain_deg,angleSec_deg,circumferenceMain_px,circumferenceSec_px,confidenceMain,outlineConfidenceMain,confidenceSec,outlineConfidenceSec
1599577799772.bmp,1617786364963,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577799805.bmp,1617786364983,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577799838.bmp,1617786365003,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577799872.bmp,1617786365023,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577799905.bmp,1617786365043,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577799938.bmp,1617786365063,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577799972.bmp,1617786365083,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577800005.bmp,1617786365103,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577800038.bmp,1617786365123,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577800072.bmp,1617786365143,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577800105.bmp,1617786365163,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577800138.bmp,1617786365183,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577800172.bmp,1617786365203,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577800205.bmp,1617786365223,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577800238.bmp,1617786365243,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577800272.bmp,1617786365263,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577800305.bmp,1617786365283,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577800338.bmp,1617786365303,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577800372.bmp,1617786365323,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577800405.bmp,1617786365343,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577800438.bmp,1617786365363,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577800472.bmp,1617786365383,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577800505.bmp,1617786365403,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577800538.bmp,1617786365423,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577800570.bmp,1617786365443,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577800605.bmp,1617786365463,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577800638.bmp,1617786365483,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577800672.bmp,1617786365503,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577800705.bmp,1617786365523,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577800738.bmp,1617786365543,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577800772.bmp,1617786365563,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577800805.bmp,1617786365583,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577800838.bmp,1617786365603,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577800872.bmp,1617786365623,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577800903.bmp,1617786365643,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577800938.bmp,1617786365663,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577800972.bmp,1617786365683,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577801005.bmp,1617786365703,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577801037.bmp,1617786365723,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577801070.bmp,1617786365743,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577801105.bmp,1617786365763,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577801138.bmp,1617786365783,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577801170.bmp,1617786365803,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577801205.bmp,1617786365823,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577801238.bmp,1617786365843,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577801270.bmp,1617786365863,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577801305.bmp,1617786365883,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577801338.bmp,1617786365903,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577801372.bmp,1617786365923,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577801405.bmp,1617786365943,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577801438.bmp,1617786365963,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577801472.bmp,1617786365983,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577801505.bmp,1617786366003,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577801538.bmp,1617786366023,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577801572.bmp,1617786366043,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577801605.bmp,1617786366063,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577801638.bmp,1617786366083,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577801672.bmp,1617786366103,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577801705.bmp,1617786366123,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577801738.bmp,1617786366143,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577801772.bmp,1617786366163,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577801805.bmp,1617786366183,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577801838.bmp,1617786366203,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577801872.bmp,1617786366223,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577801905.bmp,1617786366243,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577801937.bmp,1617786366263,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
1599577801972.bmp,1617786366283,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,217,191,635,170,0,0,0,0,-1,-1,-1,-1
