filename,timestamp_ms,algorithm,diameterMain_px,diameterSec_px,undistortedDiameterMain_px,undistortedDiameterSec_px,physicalDiameter_mm,widthMain_px,heightMain_px,axisRatioMain,widthSec_px,heightSec_px,axisRatioSec,centerMain_x,centerMain_y,centerSec_x,centerSec_y,angleMain_deg,angleSec_deg,circumferenceMain_px,circumferenceSec_px,confidenceMain,outlineConfidenceMain,confidenceSec,outlineConfidenceSec
1599578281923.bmp,1617787219260,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578281951.bmp,1617787219280,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578281990.bmp,1617787219300,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578282023.bmp,1617787219320,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578282051.bmp,1617787219340,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578282090.bmp,1617787219360,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578282123.bmp,1617787219380,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578282151.bmp,1617787219400,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578282190.bmp,1617787219420,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578282223.bmp,1617787219440,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578282256.bmp,1617787219460,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578282290.bmp,1617787219480,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578282323.bmp,1617787219500,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578282356.bmp,1617787219520,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578282390.bmp,1617787219540,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578282423.bmp,1617787219560,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578282456.bmp,1617787219580,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578282490.bmp,1617787219600,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578282523.bmp,1617787219620,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578282556.bmp,1617787219640,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578282585.bmp,1617787219660,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578282623.bmp,1617787219680,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578282656.bmp,1617787219700,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578282690.bmp,1617787219720,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578282723.bmp,1617787219740,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578282756.bmp,1617787219760,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578282790.bmp,1617787219780,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578282823.bmp,1617787219800,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578282856.bmp,1617787219820,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578282890.bmp,1617787219840,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578282923.bmp,1617787219860,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578282956.bmp,1617787219880,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578282990.bmp,1617787219900,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578283018.bmp,1617787219920,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578283056.bmp,1617787219940,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578283090.bmp,1617787219960,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578283123.bmp,1617787219980,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578283151.bmp,1617787220000,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578283190.bmp,1617787220020,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578283223.bmp,1617787220040,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578283256.bmp,1617787220060,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578283290.bmp,1617787220080,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578283323.bmp,1617787220100,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578283351.bmp,1617787220120,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578283385.bmp,1617787220140,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578283423.bmp,1617787220160,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578283456.bmp,1617787220180,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578283490.bmp,1617787220200,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578283523.bmp,1617787220220,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578283556.bmp,1617787220240,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578283585.bmp,1617787220260,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578283623.bmp,1617787220280,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578283656.bmp,1617787220300,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578283685.bmp,1617787220320,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578283723.bmp,1617787220340,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578283751.bmp,1617787220360,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578283790.bmp,1617787220380,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578283823.bmp,1617787220400,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578283856.bmp,1617787220420,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578283890.bmp,1617787220440,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578283923.bmp,1617787220460,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578283956.bmp,1617787220480,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578283990.bmp,1617787220500,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578284023.bmp,1617787220520,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578284056.bmp,1617787220540,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578284090.bmp,1617787220560,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578284123.bmp,1617787220580,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578284156.bmp,1617787220600,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578284190.bmp,1617787220620,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578284223.bmp,1617787220640,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578284256.bmp,1617787220660,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578284290.bmp,1617787220680,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578284323.bmp,1617787220700,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578284356.bmp,1617787220720,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578284390.bmp,1617787220740,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578284423.bmp,1617787220760,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578284451.bmp,1617787220780,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578284490.bmp,1617787220800,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578284523.bmp,1617787220820,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578284556.bmp,1617787220840,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578284585.bmp,1617787220860,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578284623.bmp,1617787220880,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
1599578284656.bmp,1617787220900,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,179,187,627,162,0,0,0,0,-1,-1,-1,-1
