filename,timestamp_ms,algorithm,diameterMain_px,diameterSec_px,undistortedDiameterMain_px,undistortedDiameterSec_px,physicalDiameter_mm,widthMain_px,heightMain_px,axisRatioMain,widthSec_px,heightSec_px,axisRatioSec,centerMain_x,centerMain_y,centerSec_x,centerSec_y,angleMain_deg,angleSec_deg,circumferenceMain_px,circumferenceSec_px,confidenceMain,outlineConfidenceMain,confidenceSec,outlineConfidenceSec
1599578614462.bmp,1617787496357,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,162,631,153,0,0,0,0,-1,-1,-1,-1
1599578614489.bmp,1617787496377,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,162,631,153,0,0,0,0,-1,-1,-1,-1
1599578614529.bmp,1617787496397,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,162,631,153,0,0,0,0,-1,-1,-1,-1
1599578614562.bmp,1617787496417,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,162,631,153,0,0,0,0,-1,-1,-1,-1
1599578614596.bmp,1617787496437,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,162,631,153,0,0,0,0,-1,-1,-1,-1
1599578614629.bmp,1617787496457,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,162,631,153,0,0,0,0,-1,-1,-1,-1
1599578614662.bmp,1617787496477,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,162,631,153,0,0,0,0,-1,-1,-1,-1
1599578614696.bmp,1617787496497,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,162,631,153,0,0,0,0,-1,-1,-1,-1
1599578614729.bmp,1617787496517,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,162,631,153,0,0,0,0,-1,-1,-1,-1
1599578614762.bmp,1617787496537,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,187,162,631,153,0,0,0,0,-1,-1,-1,-1
