filename,timestamp_ms,algorithm,diameterMain_px,diameterSec_px,undistortedDiameterMain_px,undistortedDiameterSec_px,physicalDiameter_mm,widthMain_px,heightMain_px,axisRatioMain,widthSec_px,heightSec_px,axisRatioSec,centerMain_x,centerMain_y,centerSec_x,centerSec_y,angleMain_deg,angleSec_deg,circumferenceMain_px,circumferenceSec_px,confidenceMain,outlineConfidenceMain,confidenceSec,outlineConfidenceSec
1599578903820.bmp,1617787791477,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,174,622,153,0,0,0,0,-1,-1,-1,-1
1599578903853.bmp,1617787791497,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,174,622,153,0,0,0,0,-1,-1,-1,-1
1599578903887.bmp,1617787791517,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,174,622,153,0,0,0,0,-1,-1,-1,-1
1599578903920.bmp,1617787791537,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,174,622,153,0,0,0,0,-1,-1,-1,-1
1599578903953.bmp,1617787791557,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,174,622,153,0,0,0,0,-1,-1,-1,-1
1599578903987.bmp,1617787791577,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,174,622,153,0,0,0,0,-1,-1,-1,-1
1599578904020.bmp,1617787791597,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,174,622,153,0,0,0,0,-1,-1,-1,-1
1599578904053.bmp,1617787791617,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,174,622,153,0,0,0,0,-1,-1,-1,-1
1599578904087.bmp,1617787791637,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,174,622,153,0,0,0,0,-1,-1,-1,-1
1599578904120.bmp,1617787791657,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,174,622,153,0,0,0,0,-1,-1,-1,-1
1599578904144.bmp,1617787791677,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,174,622,153,0,0,0,0,-1,-1,-1,-1
1599578904187.bmp,1617787791697,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,174,622,153,0,0,0,0,-1,-1,-1,-1
1599578904220.bmp,1617787791717,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,174,622,153,0,0,0,0,-1,-1,-1,-1
1599578904253.bmp,1617787791737,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,174,622,153,0,0,0,0,-1,-1,-1,-1
1599578904287.bmp,1617787791757,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,174,622,153,0,0,0,0,-1,-1,-1,-1
1599578904320.bmp,1617787791777,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,174,622,153,0,0,0,0,-1,-1,-1,-1
