filename,timestamp_ms,algorithm,diameterMain_px,diameterSec_px,undistortedDiameterMain_px,undistortedDiameterSec_px,physicalDiameter_mm,widthMain_px,heightMain_px,axisRatioMain,widthSec_px,heightSec_px,axisRatioSec,centerMain_x,centerMain_y,centerSec_x,centerSec_y,angleMain_deg,angleSec_deg,circumferenceMain_px,circumferenceSec_px,confidenceMain,outlineConfidenceMain,confidenceSec,outlineConfidenceSec
1599579195468.bmp,1617788085119,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,179,618,162,0,0,0,0,-1,-1,-1,-1
1599579195502.bmp,1617788085139,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,179,618,162,0,0,0,0,-1,-1,-1,-1
1599579195535.bmp,1617788085159,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,179,618,162,0,0,0,0,-1,-1,-1,-1
1599579195568.bmp,1617788085179,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,179,618,162,0,0,0,0,-1,-1,-1,-1
1599579195602.bmp,1617788085199,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,179,618,162,0,0,0,0,-1,-1,-1,-1
1599579195635.bmp,1617788085219,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,179,618,162,0,0,0,0,-1,-1,-1,-1
1599579195668.bmp,1617788085239,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,179,618,162,0,0,0,0,-1,-1,-1,-1
1599579195702.bmp,1617788085259,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,179,618,162,0,0,0,0,-1,-1,-1,-1
1599579195735.bmp,1617788085279,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,179,618,162,0,0,0,0,-1,-1,-1,-1
1599579195768.bmp,1617788085299,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,179,618,162,0,0,0,0,-1,-1,-1,-1
1599579195802.bmp,1617788085319,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,179,618,162,0,0,0,0,-1,-1,-1,-1
1599579195835.bmp,1617788085339,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,179,618,162,0,0,0,0,-1,-1,-1,-1
1599579195868.bmp,1617788085359,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,179,618,162,0,0,0,0,-1,-1,-1,-1
1599579195902.bmp,1617788085379,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,179,618,162,0,0,0,0,-1,-1,-1,-1
1599579195924.bmp,1617788085399,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,179,618,162,0,0,0,0,-1,-1,-1,-1
1599579195968.bmp,1617788085419,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,179,618,162,0,0,0,0,-1,-1,-1,-1
1599579195990.bmp,1617788085439,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,179,618,162,0,0,0,0,-1,-1,-1,-1
1599579196035.bmp,1617788085459,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,179,618,162,0,0,0,0,-1,-1,-1,-1
1599579196068.bmp,1617788085479,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,179,618,162,0,0,0,0,-1,-1,-1,-1
1599579196102.bmp,1617788085499,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,179,618,162,0,0,0,0,-1,-1,-1,-1
1599579196124.bmp,1617788085519,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,179,618,162,0,0,0,0,-1,-1,-1,-1
1599579196168.bmp,1617788085539,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,179,618,162,0,0,0,0,-1,-1,-1,-1
1599579196190.bmp,1617788085559,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,179,618,162,0,0,0,0,-1,-1,-1,-1
1599579196235.bmp,1617788085579,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,179,618,162,0,0,0,0,-1,-1,-1,-1
1599579196268.bmp,1617788085599,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,179,618,162,0,0,0,0,-1,-1,-1,-1
1599579196302.bmp,1617788085619,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,179,618,162,0,0,0,0,-1,-1,-1,-1
1599579196324.bmp,1617788085639,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,179,618,162,0,0,0,0,-1,-1,-1,-1
1599579196368.bmp,1617788085659,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,179,618,162,0,0,0,0,-1,-1,-1,-1
1599579196402.bmp,1617788085679,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,179,618,162,0,0,0,0,-1,-1,-1,-1
1599579196435.bmp,1617788085699,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,179,618,162,0,0,0,0,-1,-1,-1,-1
1599579196468.bmp,1617788085719,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,179,618,162,0,0,0,0,-1,-1,-1,-1
