filename,timestamp_ms,algorithm,diameterMain_px,diameterSec_px,undistortedDiameterMain_px,undistortedDiameterSec_px,physicalDiameter_mm,widthMain_px,heightMain_px,axisRatioMain,widthSec_px,heightSec_px,axisRatioSec,centerMain_x,centerMain_y,centerSec_x,centerSec_y,angleMain_deg,angleSec_deg,circumferenceMain_px,circumferenceSec_px,confidenceMain,outlineConfidenceMain,confidenceSec,outlineConfidenceSec
1599579489668.bmp,1617788344353,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,200,191,605,162,0,0,0,0,-1,-1,-1,-1
1599579489702.bmp,1617788344373,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,200,191,605,162,0,0,0,0,-1,-1,-1,-1
1599579489735.bmp,1617788344393,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,200,191,605,162,0,0,0,0,-1,-1,-1,-1
1599579489768.bmp,1617788344413,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,200,191,605,162,0,0,0,0,-1,-1,-1,-1
1599579489802.bmp,1617788344433,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,200,191,605,162,0,0,0,0,-1,-1,-1,-1
1599579489835.bmp,1617788344453,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,200,191,605,162,0,0,0,0,-1,-1,-1,-1
1599579489855.bmp,1617788344473,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,200,191,605,162,0,0,0,0,-1,-1,-1,-1
1599579489902.bmp,1617788344493,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,200,191,605,162,0,0,0,0,-1,-1,-1,-1
1599579489935.bmp,1617788344513,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,200,191,605,162,0,0,0,0,-1,-1,-1,-1
1599579489968.bmp,1617788344533,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,200,191,605,162,0,0,0,0,-1,-1,-1,-1
1599579490002.bmp,1617788344553,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,200,191,605,162,0,0,0,0,-1,-1,-1,-1
1599579490035.bmp,1617788344573,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,200,191,605,162,0,0,0,0,-1,-1,-1,-1
1599579490068.bmp,1617788344593,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,200,191,605,162,0,0,0,0,-1,-1,-1,-1
1599579490102.bmp,1617788344613,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,200,191,605,162,0,0,0,0,-1,-1,-1,-1
1599579490122.bmp,1617788344633,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,200,191,605,162,0,0,0,0,-1,-1,-1,-1
1599579490168.bmp,1617788344653,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,200,191,605,162,0,0,0,0,-1,-1,-1,-1
1599579490202.bmp,1617788344673,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,200,191,605,162,0,0,0,0,-1,-1,-1,-1
1599579490235.bmp,1617788344693,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,200,191,605,162,0,0,0,0,-1,-1,-1,-1
1599579490268.bmp,1617788344713,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,200,191,605,162,0,0,0,0,-1,-1,-1,-1
1599579490288.bmp,1617788344733,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,200,191,605,162,0,0,0,0,-1,-1,-1,-1
1599579490335.bmp,1617788344753,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,200,191,605,162,0,0,0,0,-1,-1,-1,-1
1599579490368.bmp,1617788344773,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,200,191,605,162,0,0,0,0,-1,-1,-1,-1
1599579490402.bmp,1617788344793,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,200,191,605,162,0,0,0,0,-1,-1,-1,-1
1599579490422.bmp,1617788344813,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,200,191,605,162,0,0,0,0,-1,-1,-1,-1
1599579490455.bmp,1617788344833,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,200,191,605,162,0,0,0,0,-1,-1,-1,-1
1599579490502.bmp,1617788344853,ElSe,0,20,-1,-1,-1,0,0,nan,15,20,0.75,200,191,779.601,457.492,0,177.149,0,55.2587,-1,-1,-1,0
1599579490535.bmp,1617788344873,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,200,191,605,162,0,0,0,0,-1,-1,-1,-1
1599579490568.bmp,1617788344893,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,200,191,605,162,0,0,0,0,-1,-1,-1,-1
1599579490602.bmp,1617788344913,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,200,191,605,162,0,0,0,0,-1,-1,-1,-1
1599579490635.bmp,1617788344933,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,200,191,605,162,0,0,0,0,-1,-1,-1,-1
1599579490668.bmp,1617788344953,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,200,191,605,162,0,0,0,0,-1,-1,-1,-1
1599579490702.bmp,1617788344973,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,200,191,605,162,0,0,0,0,-1,-1,-1,-1
1599579490722.bmp,1617788344993,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,200,191,605,162,0,0,0,0,-1,-1,-1,-1
1599579490768.bmp,1617788345013,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,200,191,605,162,0,0,0,0,-1,-1,-1,-1
1599579490802.bmp,1617788345033,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,200,191,605,162,0,0,0,0,-1,-1,-1,-1
1599579490835.bmp,1617788345053,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,200,191,605,162,0,0,0,0,-1,-1,-1,-1
1599579490868.bmp,1617788345073,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,200,191,605,162,0,0,0,0,-1,-1,-1,-1
1599579490902.bmp,1617788345093,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,200,191,605,162,0,0,0,0,-1,-1,-1,-1
1599579490935.bmp,1617788345113,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,200,191,605,162,0,0,0,0,-1,-1,-1,-1
1599579490968.bmp,1617788345133,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,200,191,605,162,0,0,0,0,-1,-1,-1,-1
1599579491002.bmp,1617788345153,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,200,191,605,162,0,0,0,0,-1,-1,-1,-1
1599579491035.bmp,1617788345173,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,200,191,605,162,0,0,0,0,-1,-1,-1,-1
1599579491068.bmp,1617788345193,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,200,191,605,162,0,0,0,0,-1,-1,-1,-1
1599579491102.bmp,1617788345213,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,200,191,605,162,0,0,0,0,-1,-1,-1,-1
1599579491122.bmp,1617788345233,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,200,191,605,162,0,0,0,0,-1,-1,-1,-1
1599579491168.bmp,1617788345253,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,200,191,605,162,0,0,0,0,-1,-1,-1,-1
1599579491202.bmp,1617788345273,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,200,191,605,162,0,0,0,0,-1,-1,-1,-1
1599579491235.bmp,1617788345293,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,200,191,605,162,0,0,0,0,-1,-1,-1,-1
1599579491268.bmp,1617788345313,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,200,191,605,162,0,0,0,0,-1,-1,-1,-1
1599579491302.bmp,1617788345333,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,200,191,605,162,0,0,0,0,-1,-1,-1,-1
1599579491335.bmp,1617788345353,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,200,191,605,162,0,0,0,0,-1,-1,-1,-1
1599579491368.bmp,1617788345373,ElSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,200,191,605,162,0,0,0,0,-1,-1,-1,-1
