filename,timestamp_ms,algorithm,diameterMain_px,diameterSec_px,undistortedDiameterMain_px,undistortedDiameterSec_px,physicalDiameter_mm,widthMain_px,heightMain_px,axisRatioMain,widthSec_px,heightSec_px,axisRatioSec,centerMain_x,centerMain_y,centerSec_x,centerSec_y,angleMain_deg,angleSec_deg,circumferenceMain_px,circumferenceSec_px,confidenceMain,outlineConfidenceMain,confidenceSec,outlineConfidenceSec
1599577799772.bmp,1617807053564,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,211,179,643,158,0,0,0,0,-1,-1,-1,-1
1599577799805.bmp,1617807053597,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,211,179,643,158,0,0,0,0,-1,-1,-1,-1
1599577799838.bmp,1617807053630,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,211,179,643,158,0,0,0,0,-1,-1,-1,-1
1599577799872.bmp,1617807053663,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,211,179,643,158,0,0,0,0,-1,-1,-1,-1
1599577799905.bmp,1617807053696,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,211,179,643,158,0,0,0,0,-1,-1,-1,-1
1599577799938.bmp,1617807053729,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,211,179,643,158,0,0,0,0,-1,-1,-1,-1
1599577799972.bmp,1617807053762,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,211,179,643,158,0,0,0,0,-1,-1,-1,-1
1599577800005.bmp,1617807053795,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,211,179,643,158,0,0,0,0,-1,-1,-1,-1
1599577800038.bmp,1617807053828,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,211,179,643,158,0,0,0,0,-1,-1,-1,-1
1599577800072.bmp,1617807053861,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,211,179,643,158,0,0,0,0,-1,-1,-1,-1
1599577800105.bmp,1617807053894,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,211,179,643,158,0,0,0,0,-1,-1,-1,-1
1599577800138.bmp,1617807053927,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,211,179,643,158,0,0,0,0,-1,-1,-1,-1
1599577800172.bmp,1617807053960,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,211,179,643,158,0,0,0,0,-1,-1,-1,-1
1599577800205.bmp,1617807053993,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,211,179,643,158,0,0,0,0,-1,-1,-1,-1
1599577800238.bmp,1617807054026,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,211,179,643,158,0,0,0,0,-1,-1,-1,-1
1599577800272.bmp,1617807054059,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,211,179,643,158,0,0,0,0,-1,-1,-1,-1
1599577800305.bmp,1617807054092,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,211,179,643,158,0,0,0,0,-1,-1,-1,-1
1599577800338.bmp,1617807054125,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,211,179,643,158,0,0,0,0,-1,-1,-1,-1
1599577800372.bmp,1617807054158,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,211,179,643,158,0,0,0,0,-1,-1,-1,-1
1599577800405.bmp,1617807054191,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,211,179,643,158,0,0,0,0,-1,-1,-1,-1
1599577800438.bmp,1617807054224,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,211,179,643,158,0,0,0,0,-1,-1,-1,-1
1599577800472.bmp,1617807054257,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,211,179,643,158,0,0,0,0,-1,-1,-1,-1
1599577800505.bmp,1617807054290,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,211,179,643,158,0,0,0,0,-1,-1,-1,-1
1599577800538.bmp,1617807054323,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,211,179,643,158,0,0,0,0,-1,-1,-1,-1
1599577800570.bmp,1617807054356,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,211,179,643,158,0,0,0,0,-1,-1,-1,-1
1599577800605.bmp,1617807054389,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,211,179,643,158,0,0,0,0,-1,-1,-1,-1
1599577800638.bmp,1617807054422,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,211,179,643,158,0,0,0,0,-1,-1,-1,-1
1599577800672.bmp,1617807054455,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,211,179,643,158,0,0,0,0,-1,-1,-1,-1
1599577800705.bmp,1617807054488,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,211,179,643,158,0,0,0,0,-1,-1,-1,-1
1599577800738.bmp,1617807054521,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,211,179,643,158,0,0,0,0,-1,-1,-1,-1
1599577800772.bmp,1617807054554,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,211,179,643,158,0,0,0,0,-1,-1,-1,-1
1599577800805.bmp,1617807054587,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,211,179,643,158,0,0,0,0,-1,-1,-1,-1
1599577800838.bmp,1617807054620,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,211,179,643,158,0,0,0,0,-1,-1,-1,-1
1599577800872.bmp,1617807054653,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,211,179,643,158,0,0,0,0,-1,-1,-1,-1
1599577800903.bmp,1617807054686,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,211,179,643,158,0,0,0,0,-1,-1,-1,-1
1599577800938.bmp,1617807054719,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,211,179,643,158,0,0,0,0,-1,-1,-1,-1
1599577800972.bmp,1617807054752,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,211,179,643,158,0,0,0,0,-1,-1,-1,-1
1599577801005.bmp,1617807054785,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,211,179,643,158,0,0,0,0,-1,-1,-1,-1
