filename,timestamp_ms,algorithm,diameterMain_px,diameterSec_px,undistortedDiameterMain_px,undistortedDiameterSec_px,physicalDiameter_mm,widthMain_px,heightMain_px,axisRatioMain,widthSec_px,heightSec_px,axisRatioSec,centerMain_x,centerMain_y,centerSec_x,centerSec_y,angleMain_deg,angleSec_deg,circumferenceMain_px,circumferenceSec_px,confidenceMain,outlineConfidenceMain,confidenceSec,outlineConfidenceSec
1599578903820.bmp,1617808442828,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,203,179,611,158,0,0,0,0,-1,-1,-1,-1
1599578903853.bmp,1617808442866,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,203,179,611,158,0,0,0,0,-1,-1,-1,-1
1599578903887.bmp,1617808442904,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,203,179,611,158,0,0,0,0,-1,-1,-1,-1
1599578903920.bmp,1617808442942,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,203,179,611,158,0,0,0,0,-1,-1,-1,-1
1599578903953.bmp,1617808442980,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,203,179,611,158,0,0,0,0,-1,-1,-1,-1
1599578903987.bmp,1617808443018,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,203,179,611,158,0,0,0,0,-1,-1,-1,-1
1599578904020.bmp,1617808443056,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,203,179,611,158,0,0,0,0,-1,-1,-1,-1
1599578904053.bmp,1617808443094,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,203,179,611,158,0,0,0,0,-1,-1,-1,-1
1599578904087.bmp,1617808443132,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,203,179,611,158,0,0,0,0,-1,-1,-1,-1
1599578904120.bmp,1617808443170,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,203,179,611,158,0,0,0,0,-1,-1,-1,-1
1599578904144.bmp,1617808443208,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,203,179,611,158,0,0,0,0,-1,-1,-1,-1
1599578904187.bmp,1617808443246,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,203,179,611,158,0,0,0,0,-1,-1,-1,-1
1599578904220.bmp,1617808443284,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,203,179,611,158,0,0,0,0,-1,-1,-1,-1
1599578904253.bmp,1617808443322,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,203,179,611,158,0,0,0,0,-1,-1,-1,-1
1599578904287.bmp,1617808443360,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,203,179,611,158,0,0,0,0,-1,-1,-1,-1
1599578904320.bmp,1617808443398,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,203,179,611,158,0,0,0,0,-1,-1,-1,-1
1599578904353.bmp,1617808443436,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,203,179,611,158,0,0,0,0,-1,-1,-1,-1
1599578904387.bmp,1617808443474,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,203,179,611,158,0,0,0,0,-1,-1,-1,-1
