filename,timestamp_ms,algorithm,diameterMain_px,diameterSec_px,undistortedDiameterMain_px,undistortedDiameterSec_px,physicalDiameter_mm,widthMain_px,heightMain_px,axisRatioMain,widthSec_px,heightSec_px,axisRatioSec,centerMain_x,centerMain_y,centerSec_x,centerSec_y,angleMain_deg,angleSec_deg,circumferenceMain_px,circumferenceSec_px,confidenceMain,outlineConfidenceMain,confidenceSec,outlineConfidenceSec
1599579195468.bmp,1617808854181,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,191,179,627,162,0,0,0,0,-1,-1,-1,-1
1599579195502.bmp,1617808854219,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,191,179,627,162,0,0,0,0,-1,-1,-1,-1
1599579195535.bmp,1617808854257,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,191,179,627,162,0,0,0,0,-1,-1,-1,-1
1599579195568.bmp,1617808854295,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,191,179,627,162,0,0,0,0,-1,-1,-1,-1
1599579195602.bmp,1617808854333,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,191,179,627,162,0,0,0,0,-1,-1,-1,-1
1599579195635.bmp,1617808854371,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,191,179,627,162,0,0,0,0,-1,-1,-1,-1
1599579195668.bmp,1617808854409,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,191,179,627,162,0,0,0,0,-1,-1,-1,-1
1599579195702.bmp,1617808854447,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,191,179,627,162,0,0,0,0,-1,-1,-1,-1
1599579195735.bmp,1617808854485,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,191,179,627,162,0,0,0,0,-1,-1,-1,-1
1599579195768.bmp,1617808854523,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,191,179,627,162,0,0,0,0,-1,-1,-1,-1
1599579195802.bmp,1617808854561,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,191,179,627,162,0,0,0,0,-1,-1,-1,-1
1599579195835.bmp,1617808854599,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,191,179,627,162,0,0,0,0,-1,-1,-1,-1
1599579195868.bmp,1617808854637,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,191,179,627,162,0,0,0,0,-1,-1,-1,-1
1599579195902.bmp,1617808854675,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,191,179,627,162,0,0,0,0,-1,-1,-1,-1
1599579195924.bmp,1617808854713,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,191,179,627,162,0,0,0,0,-1,-1,-1,-1
1599579195968.bmp,1617808854751,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,191,179,627,162,0,0,0,0,-1,-1,-1,-1
1599579195990.bmp,1617808854789,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,191,179,627,162,0,0,0,0,-1,-1,-1,-1
1599579196035.bmp,1617808854827,ExCuSe,20,0,-1,-1,-1,14,20,0.7,0,0,nan,710.506,437.507,627,162,125.188,0,53.8237,0,-1,0,-1,-1
1599579196068.bmp,1617808854865,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,191,179,627,162,0,0,0,0,-1,-1,-1,-1
1599579196102.bmp,1617808854903,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,191,179,627,162,0,0,0,0,-1,-1,-1,-1
1599579196124.bmp,1617808854941,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,191,179,627,162,0,0,0,0,-1,-1,-1,-1
1599579196168.bmp,1617808854979,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,191,179,627,162,0,0,0,0,-1,-1,-1,-1
1599579196190.bmp,1617808855017,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,191,179,627,162,0,0,0,0,-1,-1,-1,-1
1599579196235.bmp,1617808855055,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,191,179,627,162,0,0,0,0,-1,-1,-1,-1
