filename,timestamp_ms,algorithm,diameterMain_px,diameterSec_px,undistortedDiameterMain_px,undistortedDiameterSec_px,physicalDiameter_mm,widthMain_px,heightMain_px,axisRatioMain,widthSec_px,heightSec_px,axisRatioSec,centerMain_x,centerMain_y,centerSec_x,centerSec_y,angleMain_deg,angleSec_deg,circumferenceMain_px,circumferenceSec_px,confidenceMain,outlineConfidenceMain,confidenceSec,outlineConfidenceSec
1599579489668.bmp,1617809303721,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,203,187,615,162,0,0,0,0,-1,-1,-1,-1
1599579489702.bmp,1617809303759,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,203,187,615,162,0,0,0,0,-1,-1,-1,-1
1599579489735.bmp,1617809303797,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,203,187,615,162,0,0,0,0,-1,-1,-1,-1
1599579489768.bmp,1617809303835,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,203,187,615,162,0,0,0,0,-1,-1,-1,-1
1599579489802.bmp,1617809303873,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,203,187,615,162,0,0,0,0,-1,-1,-1,-1
1599579489835.bmp,1617809303911,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,203,187,615,162,0,0,0,0,-1,-1,-1,-1
1599579489855.bmp,1617809303949,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,203,187,615,162,0,0,0,0,-1,-1,-1,-1
1599579489902.bmp,1617809303987,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,203,187,615,162,0,0,0,0,-1,-1,-1,-1
1599579489935.bmp,1617809304025,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,203,187,615,162,0,0,0,0,-1,-1,-1,-1
1599579489968.bmp,1617809304063,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,203,187,615,162,0,0,0,0,-1,-1,-1,-1
1599579490002.bmp,1617809304101,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,203,187,615,162,0,0,0,0,-1,-1,-1,-1
1599579490035.bmp,1617809304139,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,203,187,615,162,0,0,0,0,-1,-1,-1,-1
1599579490068.bmp,1617809304177,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,203,187,615,162,0,0,0,0,-1,-1,-1,-1
1599579490102.bmp,1617809304215,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,203,187,615,162,0,0,0,0,-1,-1,-1,-1
1599579490122.bmp,1617809304253,ExCuSe,0,0,-1,-1,-1,0,0,nan,0,0,nan,203,187,615,162,0,0,0,0,-1,-1,-1,-1
