filename,timestamp_ms,algorithm,diameterMain_px,diameterSec_px,undistortedDiameterMain_px,undistortedDiameterSec_px,physicalDiameter_mm,widthMain_px,heightMain_px,axisRatioMain,widthSec_px,heightSec_px,axisRatioSec,centerMain_x,centerMain_y,centerSec_x,centerSec_y,angleMain_deg,angleSec_deg,circumferenceMain_px,circumferenceSec_px,confidenceMain,outlineConfidenceMain,confidenceSec,outlineConfidenceSec
1599577799772.bmp,1617789117608,PuRe,45,-1,-1,-1,-1,28,45,0.622222,-1,-1,1,225.853,424.562,654.081,163.081,151.101,-1,116.228,15.708,0.5,0,-1,-1
1599577799805.bmp,1617789117630,PuRe,45,81,-1,-1,2.73456,11,45,0.244444,51,81,0.62963,313.512,516.078,687.923,202.586,36.0557,25.7103,96.2669,210.031,0,0,0.277778,0
1599577799838.bmp,1617789117652,PuRe,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,204.081,180.081,654.081,163.081,-1,-1,15.708,15.708,-1,-1,-1,-1
1599577799872.bmp,1617789117674,PuRe,-1,40,-1,-1,-1,-1,-1,1,22,40,0.55,204.081,180.081,816.488,410.134,-1,70.7727,15.708,99.4525,-1,-1,0.30303,0
1599577799905.bmp,1617789117696,PuRe,-1,48,-1,-1,-1,-1,-1,1,17,48,0.354167,204.081,180.081,956.879,470.752,-1,146.994,15.708,107.993,-1,-1,0.363636,0
1599577799938.bmp,1617789117718,PuRe,49,39,-1,-1,1.61258,17,49,0.346939,27,39,0.692308,681.465,462.047,669.874,604.498,45.3483,155.3,109.858,104.531,0.3125,0,0.212121,0
1599577799972.bmp,1617789117740,PuRe,50,54,-1,-1,1.82179,16,50,0.32,20,54,0.37037,768.577,225.201,669.48,445.303,105.871,4.43351,110.669,122.457,0.46875,0,0.3125,0
1599577800005.bmp,1617789117762,PuRe,63,46,-1,-1,3.3424,21,63,0.333333,21,46,0.456522,347.069,625.58,1246.34,411.148,101.901,125.72,140.327,108.939,0.323529,0,0.294118,0
1599577800038.bmp,1617789117784,PuRe,52,47,-1,-1,2.57693,11,52,0.211538,12,47,0.255319,536.122,598.537,1195.97,615.638,71.5182,108.969,109.731,101.018,0,0,0,0
1599577800072.bmp,1617789117806,PuRe,48,54,-1,-1,2.05211,14,48,0.291667,31,54,0.574074,658.945,317.225,864.931,460.27,109.535,145.441,104.854,135.973,0.294118,0,0.46875,0
1599577800105.bmp,1617789117828,PuRe,46,114,-1,-1,3.32131,22,46,0.478261,41,114,0.359649,647.274,562.747,909.428,385.859,132.833,73.3029,110.167,257.167,0.142857,0,0.5,0
