filename,timestamp_ms,algorithm,diameterMain_px,diameterSec_px,undistortedDiameterMain_px,undistortedDiameterSec_px,physicalDiameter_mm,widthMain_px,heightMain_px,axisRatioMain,widthSec_px,heightSec_px,axisRatioSec,centerMain_x,centerMain_y,centerSec_x,centerSec_y,angleMain_deg,angleSec_deg,circumferenceMain_px,circumferenceSec_px,confidenceMain,outlineConfidenceMain,confidenceSec,outlineConfidenceSec
1599578281923.bmp,1617789402703,PuRe,45,72,-1,-1,3.30883,12,45,0.266667,41,72,0.569444,392.63,502.569,1214.24,453.423,34.2105,176.855,97.2021,180.856,0.21875,0,0.411765,0
1599578281951.bmp,1617789402725,PuRe,68,44,-1,-1,2.86742,20,68,0.294118,14,44,0.318182,415.375,405.664,1059.55,504.072,84.5386,98.1557,148.71,97.3052,0.181818,0,0.25,0
1599578281990.bmp,1617789402747,PuRe,-1,43,-1,-1,-1,-1,-1,1,17,43,0.395349,190.081,184.081,789.193,444.663,-1,100.031,15.708,98.7254,-1,-1,0.40625,0
1599578282023.bmp,1617789402769,PuRe,93,51,-1,-1,3.85938,26,93,0.27957,10,51,0.196078,330.922,611.856,1029.09,404.191,56.2965,67.4435,202.044,106.964,0.228571,0,0,0
1599578282051.bmp,1617789402791,PuRe,34,-1,-1,-1,-1,16,34,0.470588,-1,-1,1,462.055,239.523,623.081,170.081,83.4582,-1,81.1055,15.708,0.28125,0,-1,-1
1599578282090.bmp,1617789402813,PuRe,47,62,-1,-1,2.30373,13,47,0.276596,13,62,0.209677,692.361,636.877,986.096,462.757,91.0833,92.7199,101.972,130.736,0.3,0,0.451613,0
1599578282123.bmp,1617789402835,PuRe,56,49,-1,-1,2.43956,11,56,0.196429,36,49,0.734694,434.253,631.336,924.28,366.131,67.7394,106.9,117.467,134.3,0,0,0.46875,0
1599578282151.bmp,1617789402857,PuRe,45,41,-1,-1,1.79057,17,45,0.377778,12,41,0.292683,673.01,594.472,921.65,548.907,35.658,64.4513,102.42,89.6047,0.352941,0,0,0
1599578282190.bmp,1617789402879,PuRe,43,45,-1,-1,1.61293,10,43,0.232558,11,45,0.244444,705.09,637.955,692.495,531.788,91.1274,65.9779,91.5267,96.2669,0,0,0,0
1599578282223.bmp,1617789402901,PuRe,50,52,-1,-1,2.09749,25,50,0.5,16,52,0.307692,690.078,630.833,914.736,607.213,82.4796,45.681,121.105,114.434,0.147059,0,0.428571,0
1599578282256.bmp,1617789402923,PuRe,50,41,-1,-1,2.14178,39,50,0.78,17,41,0.414634,213.251,540.743,696.65,624.625,5.95882,97.187,140.335,95.0488,0.388889,0,0.1875,0
1599578282290.bmp,1617789402945,PuRe,46,-1,-1,-1,-1,19,46,0.413043,-1,-1,1,681.756,502.618,623.081,170.081,75.2886,-1,106.555,15.708,0.363636,0,-1,-1
1599578282323.bmp,1617789402967,PuRe,42,47,-1,-1,2.45829,11,42,0.261905,18,47,0.382979,396.617,636.849,1164.6,182.001,82.9068,94.462,90.5318,107.248,0,0,0.424242,0
1599578282356.bmp,1617789402989,PuRe,50,82,-1,-1,3.297,38,50,0.76,68,82,0.829268,479.659,303.204,1107.48,427.843,56.8931,151.532,138.873,236.133,0.264706,0,0.305556,0
1599578282390.bmp,1617789403011,PuRe,42,-1,-1,-1,-1,16,42,0.380952,-1,-1,1,609.084,594.483,623.081,170.081,122.543,-1,95.7421,15.708,0.393939,0,-1,-1
1599578282423.bmp,1617789403033,PuRe,45,-1,-1,-1,-1,28,45,0.622222,-1,-1,1,786.071,495.057,623.081,170.081,21.1292,-1,116.228,15.708,0.114286,0,-1,-1
1599578282456.bmp,1617789403055,PuRe,46,52,-1,-1,2.29728,15,46,0.326087,27,52,0.519231,208.309,541.492,710.585,606.079,133.214,42.6291,102.108,127.219,0.0909091,0,0.382353,0
1599578282490.bmp,1617789403077,PuRe,-1,51,-1,-1,-1,-1,-1,1,10,51,0.196078,190.081,184.081,1108.83,396.293,-1,30.8344,15.708,106.964,-1,-1,0,0
1599578282523.bmp,1617789403099,PuRe,44,67,-1,-1,2.56815,34,44,0.772727,16,67,0.238806,560.536,315.637,1020.44,616.421,162.81,101.453,123.026,142.987,0.151515,0,0.242424,0
