filename,timestamp_ms,algorithm,diameterMain_px,diameterSec_px,undistortedDiameterMain_px,undistortedDiameterSec_px,physicalDiameter_mm,widthMain_px,heightMain_px,axisRatioMain,widthSec_px,heightSec_px,axisRatioSec,centerMain_x,centerMain_y,centerSec_x,centerSec_y,angleMain_deg,angleSec_deg,circumferenceMain_px,circumferenceSec_px,confidenceMain,outlineConfidenceMain,confidenceSec,outlineConfidenceSec
1599578614462.bmp,1617789688496,PuRe,40,-1,-1,-1,-1,12,40,0.3,-1,-1,1,470.398,439.219,627.081,153.081,5.58441,-1,87.7135,15.708,0,0,-1,-1
1599578614489.bmp,1617789688518,PuRe,40,42,-1,-1,2.70074,21,40,0.525,16,42,0.380952,232.982,523.209,1232.07,365.586,159.311,169.133,98.1568,95.7421,0.375,0,0.205882,0
1599578614529.bmp,1617789688540,PuRe,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,217.081,187.081,627.081,153.081,-1,-1,15.708,15.708,-1,-1,-1,-1
1599578614562.bmp,1617789688562,PuRe,-1,52,-1,-1,-1,-1,-1,1,39,52,0.75,217.081,187.081,836.229,301.528,-1,113.127,15.708,143.673,-1,-1,0.441176,0
1599578614596.bmp,1617789688584,PuRe,40,60,-1,-1,3.08892,35,40,0.875,19,60,0.316667,240.154,589.546,1163.98,599.353,72.8984,81.6067,117.941,132.595,0.5,0,0.411765,0
1599578614629.bmp,1617789688606,PuRe,47,41,-1,-1,1.95037,14,47,0.297872,19,41,0.463415,395.791,284.16,806.484,371.583,18.7119,81.0902,102.962,97.4426,0.393939,0,0.333333,0
1599578614662.bmp,1617789688628,PuRe,-1,49,-1,-1,-1,-1,-1,1,15,49,0.306122,217.081,187.081,791.893,462.123,-1,108.144,15.708,107.754,-1,-1,0.441176,0
1599578614696.bmp,1617789688650,PuRe,42,40,-1,-1,1.48972,11,42,0.261905,11,40,0.275,674.919,636.334,636.666,504.531,107.058,175.47,90.5318,86.7227,0,0,0,0
1599578614729.bmp,1617789688672,PuRe,48,56,-1,-1,2.23054,26,48,0.541667,25,56,0.446429,608.295,381.389,948.061,538.15,62.6365,40.8805,118.822,131.937,0.485714,0,0.333333,0
1599578614762.bmp,1617789688694,PuRe,54,39,-1,-1,2.54181,14,54,0.259259,14,39,0.358974,468.12,621.237,1198.78,599.026,10.0811,56.5959,116.263,87.9493,0.28125,0,0.6,0
1599578614796.bmp,1617789688716,PuRe,-1,51,-1,-1,-1,-1,-1,1,31,51,0.607843,217.081,187.081,1109.46,188.187,-1,128.997,15.708,130.728,-1,-1,0.514286,0
