filename,timestamp_ms,algorithm,diameterMain_px,diameterSec_px,undistortedDiameterMain_px,undistortedDiameterSec_px,physicalDiameter_mm,widthMain_px,heightMain_px,axisRatioMain,widthSec_px,heightSec_px,axisRatioSec,centerMain_x,centerMain_y,centerSec_x,centerSec_y,angleMain_deg,angleSec_deg,circumferenceMain_px,circumferenceSec_px,confidenceMain,outlineConfidenceMain,confidenceSec,outlineConfidenceSec
1599578903820.bmp,1617789979462,PuRe,62,39,-1,-1,2.01492,23,62,0.370968,15,39,0.384615,660.938,456.851,837.492,288.53,89.1858,137.944,140.64,89.0648,0.333333,0,0.235294,0
1599578903853.bmp,1617789979484,PuRe,81,42,-1,-1,2.44615,45,81,0.555556,11,42,0.261905,680.726,590.363,844.462,608.51,171.887,78.8721,201.98,90.5318,0.361111,0,0,0
1599578903887.bmp,1617789979506,PuRe,98,41,-1,-1,3.23059,36,98,0.367347,21,41,0.512195,589.502,615.373,1057.06,606.605,83.509,80.2016,221.907,99.9396,0.314286,0,0.235294,0
1599578903920.bmp,1617789979528,PuRe,-1,48,-1,-1,-1,-1,-1,1,19,48,0.395833,184.081,177.081,685.974,483.828,-1,83.5069,15.708,110.232,-1,-1,0.363636,0
1599578903953.bmp,1617789979550,PuRe,-1,37,-1,-1,-1,-1,-1,1,17,37,0.459459,184.081,177.081,1123.74,262.654,-1,146.332,15.708,87.7573,-1,-1,0.30303,0
1599578903987.bmp,1617789979572,PuRe,44,61,-1,-1,2.68188,39,44,0.886364,19,61,0.311475,187.042,263.005,827.602,407.867,40.1035,132.863,130.494,134.477,0.323529,0,0.363636,0
1599578904020.bmp,1617789979594,PuRe,-1,98,-1,-1,-1,-1,-1,1,22,98,0.22449,184.081,177.081,1016.38,597.147,-1,13.7725,15.708,207.897,-1,-1,0.277778,0
1599578904053.bmp,1617789979616,PuRe,159,85,-1,-1,5.12004,64,159,0.402516,19,85,0.223529,492.082,578.814,759.795,205.291,51.7335,153.462,366.365,180.247,0.361111,0,0.277778,0
1599578904087.bmp,1617789979638,PuRe,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,184.081,177.081,623.081,157.081,-1,-1,15.708,15.708,-1,-1,-1,-1
1599578904120.bmp,1617789979660,PuRe,60,45,-1,-1,2.02338,16,60,0.266667,15,45,0.333333,733.882,191.881,856.118,609.703,78.8976,63.9791,129.603,100.233,0.34375,0,0.30303,0
1599578904144.bmp,1617789979682,PuRe,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,184.081,177.081,623.081,157.081,-1,-1,15.708,15.708,-1,-1,-1,-1
1599578904187.bmp,1617789979704,PuRe,41,-1,-1,-1,-1,21,41,0.512195,-1,-1,1,292.415,560.063,623.081,157.081,9.67721,-1,99.9396,15.708,0.333333,0,-1,-1
1599578904220.bmp,1617789979726,PuRe,40,66,-1,-1,3.22001,20,40,0.5,16,66,0.242424,275.547,622.89,1175.44,250.79,118.285,122.368,96.8842,141.07,0.382353,0,0.1875,0
1599578904253.bmp,1617789979748,PuRe,-1,47,-1,-1,-1,-1,-1,1,16,47,0.340426,184.081,177.081,631.558,551.787,-1,173.203,15.708,105.044,-1,-1,0.09375,0
1599578904287.bmp,1617789979770,PuRe,21,66,-1,-1,2.02571,8,21,0.380952,37,66,0.560606,297.622,520.805,803.456,590.658,160.99,125.91,47.8711,165.014,0,0,0.25,0
1599578904320.bmp,1617789979792,PuRe,-1,50,-1,-1,-1,-1,-1,1,28,50,0.56,184.081,177.081,1051.75,414.661,-1,73.3465,15.708,124.971,-1,-1,0.515152,0
1599578904353.bmp,1617789979814,PuRe,66,79,-1,-1,3.5662,56,66,0.848485,53,79,0.670886,404.345,351.946,999.311,268.98,116.631,156.756,191.959,209.361,0.5,0,0.25,0
1599578904387.bmp,1617789979836,PuRe,45,46,-1,-1,2.2593,27,45,0.6,10,46,0.217391,382.312,619.955,968.738,478.536,122.611,173.51,114.871,97.3005,0.242424,0,0,0
1599578904420.bmp,1617789979858,PuRe,52,46,-1,-1,1.73769,16,52,0.307692,28,46,0.608696,713.491,618.231,646.9,274.969,69.6265,42.0047,114.434,117.965,0.294118,0,0.352941,0
1599578904453.bmp,1617789979880,PuRe,-1,59,-1,-1,-1,-1,-1,1,28,59,0.474576,184.081,177.081,1025.31,210.472,-1,101.519,15.708,141.032,-1,-1,0.588235,0
1599578904477.bmp,1617789979902,PuRe,-1,40,-1,-1,-1,-1,-1,1,11,40,0.275,184.081,177.081,1097.61,166.533,-1,95.7194,15.708,86.7227,-1,-1,0,0
1599578904520.bmp,1617789979924,PuRe,48,42,-1,-1,2.3588,36,48,0.75,15,42,0.357143,250.282,499.563,917.142,180.527,95.1257,74.5378,132.621,94.6303,0.352941,0,0.323529,0
1599578904553.bmp,1617789979946,PuRe,58,37,-1,-1,2.06116,26,58,0.448276,20,37,0.540541,730.644,360.314,1073.24,394.964,83.7448,143.571,136.778,91.5376,0.264706,0,0.3125,0
1599578904577.bmp,1617789979968,PuRe,49,66,-1,-1,3.14097,11,49,0.22449,16,66,0.242424,193.943,451.468,950.921,291.074,7.47236,129.199,103.948,141.07,0,0,0.242424,0
1599578904620.bmp,1617789979990,PuRe,41,66,-1,-1,2.46978,10,41,0.243902,32,66,0.484848,624.602,631.751,1096.02,378.912,92.8806,88.5553,87.6895,158.606,0,0,0.333333,0
1599578904653.bmp,1617789980012,PuRe,46,-1,-1,-1,-1,9,46,0.195652,-1,-1,1,192.166,591.933,623.081,157.081,0.206739,-1,96.4618,15.708,0,0,-1,-1
