filename,timestamp_ms,algorithm,diameterMain_px,diameterSec_px,undistortedDiameterMain_px,undistortedDiameterSec_px,physicalDiameter_mm,widthMain_px,heightMain_px,axisRatioMain,widthSec_px,heightSec_px,axisRatioSec,centerMain_x,centerMain_y,centerSec_x,centerSec_y,angleMain_deg,angleSec_deg,circumferenceMain_px,circumferenceSec_px,confidenceMain,outlineConfidenceMain,confidenceSec,outlineConfidenceSec
1599579195468.bmp,1617790237272,PuRe,42,37,-1,-1,1.84194,15,42,0.357143,16,37,0.432432,543.193,631.825,1014.97,169.192,92.6697,107.882,94.6303,86.5525,0.2,0,0.272727,0
1599579195502.bmp,1617790237294,PuRe,45,61,-1,-1,2.05886,12,45,0.266667,18,61,0.295082,816.749,460.288,933.403,606.254,173.185,100.75,97.2021,133.461,0,0,0.382353,0
1599579195535.bmp,1617790237316,PuRe,49,49,-1,-1,2.78839,22,49,0.44898,27,49,0.55102,340.074,321.011,1156.58,525.038,11.7738,165.242,115.596,121.895,0.314286,0,0.176471,0
1599579195568.bmp,1617790237338,PuRe,55,50,-1,-1,2.39214,14,55,0.254545,36,50,0.72,443.894,607.952,894.48,496.125,96.334,97.8028,118.173,135.985,0.1875,0,0.588235,0
1599579195602.bmp,1617790237360,PuRe,45,39,-1,-1,1.48332,19,45,0.422222,15,39,0.384615,759.906,619.103,644.156,601.611,117.22,143.06,104.723,89.0648,0.5,0,0.212121,0
1599579195635.bmp,1617790237382,PuRe,39,46,-1,-1,1.66797,19,39,0.487179,14,46,0.304348,804.775,257.8,942.111,609.589,95.4751,86.0679,93.8349,101.073,0.181818,0,0.25,0
1599579195668.bmp,1617790237404,PuRe,44,41,-1,-1,1.64579,9,44,0.204545,11,41,0.268293,656.149,632.343,772.049,230.327,90.8173,26.7835,92.5906,88.6257,0,0,0,0
1599579195702.bmp,1617790237426,PuRe,-1,41,-1,-1,-1,-1,-1,1,11,41,0.268293,211.081,177.081,936.708,477.87,-1,8.39201,15.708,88.6257,-1,-1,0,0
1599579195735.bmp,1617790237448,PuRe,76,38,-1,-1,2.06773,35,76,0.460526,9,38,0.236842,797.588,494.539,758.073,604.699,32.5539,54.7207,180.357,81.0299,0.514286,0,0,0
1599579195768.bmp,1617790237470,PuRe,75,-1,-1,-1,-1,43,75,0.573333,-1,-1,1,320.183,498.86,613.081,157.081,92.4308,-1,188.778,15.708,0.382353,0,-1,-1
