filename,timestamp_ms,algorithm,diameterMain_px,diameterSec_px,undistortedDiameterMain_px,undistortedDiameterSec_px,physicalDiameter_mm,widthMain_px,heightMain_px,axisRatioMain,widthSec_px,heightSec_px,axisRatioSec,centerMain_x,centerMain_y,centerSec_x,centerSec_y,angleMain_deg,angleSec_deg,circumferenceMain_px,circumferenceSec_px,confidenceMain,outlineConfidenceMain,confidenceSec,outlineConfidenceSec
1599579489668.bmp,1617790513410,PuRe,74,53,-1,-1,2.8143,40,74,0.540541,23,53,0.433962,240.013,216.093,636.323,582.247,96.2115,166.128,183.075,124.077,0.371429,0,0.2,0
1599579489702.bmp,1617790513432,PuRe,-1,52,-1,-1,-1,-1,-1,1,24,52,0.461538,197.081,190.081,800.003,596.834,-1,137.164,15.708,123.466,-1,-1,0.485714,0
1599579489735.bmp,1617790513454,PuRe,42,47,-1,-1,1.95406,19,42,0.452381,27,47,0.574468,523.282,546.234,904.846,198.28,125.421,25.6016,99.2549,118.371,0.272727,0,0.485714,0
1599579489768.bmp,1617790513476,PuRe,47,56,-1,-1,2.31305,16,47,0.340426,21,56,0.375,215.13,411.642,641.156,449.811,147.804,26.7684,105.044,127.282,0.264706,0,0.28125,0
1599579489802.bmp,1617790513498,PuRe,62,90,-1,-1,4.61231,26,62,0.419355,37,90,0.411111,295.617,499.194,1206.72,469.975,97.6284,87.9713,144.075,208.274,0.352941,0,0.411765,0
1599579489835.bmp,1617790513520,PuRe,48,-1,-1,-1,-1,33,48,0.6875,-1,-1,1,686.36,572.137,620.081,173.081,144.86,-1,128.328,15.708,0.527778,0,-1,-1
1599579489855.bmp,1617790513542,PuRe,44,36,-1,-1,1.43141,15,44,0.340909,21,36,0.583333,737.105,626.308,671.694,330.836,165.219,14.1656,98.3618,91.0923,0.470588,0,0.4375,0
1599579489902.bmp,1617790513564,PuRe,-1,41,-1,-1,-1,-1,-1,1,16,41,0.390244,197.081,190.081,1128.41,517.447,-1,89.2073,15.708,93.8944,-1,-1,0.419355,0
1599579489935.bmp,1617790513586,PuRe,40,44,-1,-1,1.63744,11,40,0.275,16,44,0.363636,788.919,642.994,905.835,486.634,95.7234,27.4322,86.7227,99.4509,0,0,0.242424,0
1599579489968.bmp,1617790513608,PuRe,44,49,-1,-1,1.80929,13,44,0.295455,10,49,0.204082,679.365,366.254,807.613,601.133,0.30445,121.297,96.2833,103.093,0.3,0,0,0
1599579490002.bmp,1617790513630,PuRe,39,44,-1,-1,1.90563,15,39,0.384615,16,44,0.363636,348.684,644.503,785.114,408.046,91.8186,106.909,89.0648,99.4509,0.322581,0,0.205882,0
1599579490035.bmp,1617790513652,PuRe,41,46,-1,-1,2.32725,12,41,0.292683,19,46,0.413043,501.637,407.988,1222.58,595.153,140.247,171.048,89.6047,106.555,0,0,0.264706,0
1599579490068.bmp,1617790513674,PuRe,46,48,-1,-1,2.19154,27,46,0.586957,16,48,0.333333,424.776,425.859,902.351,626.061,79.909,96.8085,116.618,106.916,0.272727,0,0.28125,0
1599579490102.bmp,1617790513696,PuRe,53,46,-1,-1,1.95683,10,53,0.188679,11,46,0.23913,492.916,644.415,644.18,487.193,88.394,60.3218,110.842,98.1838,0,0,0,0
1599579490122.bmp,1617790513718,PuRe,-1,52,-1,-1,-1,-1,-1,1,35,52,0.673077,197.081,190.081,787.611,555.115,-1,106.419,15.708,137.967,-1,-1,0.294118,0
1599579490168.bmp,1617790513740,PuRe,68,42,-1,-1,2.15934,21,68,0.308824,12,42,0.285714,558.879,478.564,699.196,510.179,97.0678,118.127,149.724,91.4994,0.363636,0,0.40625,0
1599579490202.bmp,1617790513762,PuRe,-1,48,-1,-1,-1,-1,-1,1,15,48,0.3125,197.081,190.081,898.822,621.656,-1,92.6905,15.708,105.869,-1,-1,0.28125,0
1599579490235.bmp,1617790513784,PuRe,-1,94,-1,-1,-1,-1,-1,1,23,94,0.244681,197.081,190.081,643.352,594.338,-1,160.573,15.708,201.111,-1,-1,0.333333,0
1599579490268.bmp,1617790513806,PuRe,44,50,-1,-1,2.11338,14,44,0.318182,24,50,0.48,610.539,643.073,1040.91,557.601,89.9081,0.0246564,97.3052,119.854,0.25,0,0.28125,0
1599579490288.bmp,1617790513828,PuRe,54,50,-1,-1,2.03808,19,54,0.351852,37,50,0.74,511.663,608.17,646.489,536.121,19.2818,123.193,121.355,137.423,0.382353,0,0.323529,0
1599579490335.bmp,1617790513850,PuRe,172,-1,-1,-1,-1,76,172,0.44186,-1,-1,1,533.846,432.506,620.081,173.081,103.158,-1,404.29,15.708,0.5,0,-1,-1
1599579490368.bmp,1617790513872,PuRe,40,54,-1,-1,2.4731,11,40,0.275,14,54,0.259259,256.524,642.405,952.635,527.904,88.3249,140.834,86.7227,116.263,0,0,0.294118,0
1599579490402.bmp,1617790513894,PuRe,-1,58,-1,-1,-1,-1,-1,1,31,58,0.534483,197.081,190.081,801.148,248.491,-1,171.158,15.708,143.036,-1,-1,0.457143,0
1599579490422.bmp,1617790513916,PuRe,-1,43,-1,-1,-1,-1,-1,1,16,43,0.372093,197.081,190.081,742.058,622.494,-1,74.4467,15.708,97.5944,-1,-1,0.454545,0
1599579490455.bmp,1617790513938,PuRe,38,46,-1,-1,2.54128,20,38,0.526316,12,46,0.26087,237.286,641.151,1132.38,270.335,44.0593,95.3445,93.3133,99.1088,0.21875,0,0,0
1599579490502.bmp,1617790513960,PuRe,41,37,-1,-1,2.38269,27,41,0.658537,16,37,0.432432,336.6,626.993,1223.02,499.553,6.89976,19.8678,107.949,86.5525,0.363636,0,0.0967742,0
1599579490535.bmp,1617790513982,PuRe,43,-1,-1,-1,-1,14,43,0.325581,-1,-1,1,650.693,200.646,620.081,173.081,95.5742,-1,95.4263,15.708,0.290323,0,-1,-1
1599579490568.bmp,1617790514004,PuRe,42,58,-1,-1,2.06346,10,42,0.238095,40,58,0.689655,592.904,588.59,864.371,269.827,51.8689,66.1641,89.6068,155.239,0,0,0.382353,0
1599579490602.bmp,1617790514026,PuRe,42,-1,-1,-1,-1,21,42,0.5,-1,-1,1,788.426,558.94,620.081,173.081,111.822,-1,101.728,15.708,0.242424,0,-1,-1
1599579490635.bmp,1617790514048,PuRe,62,53,-1,-1,2.95057,44,62,0.709677,16,53,0.301887,315.07,378.003,939.362,455.027,151.731,71.5766,167.707,116.322,0.484848,0,0.470588,0
1599579490668.bmp,1617790514070,PuRe,45,40,-1,-1,1.48617,30,45,0.666667,10,40,0.25,769.942,558.891,628.408,554.45,117.332,9.66661,118.991,85.775,0.264706,0,0,0
1599579490702.bmp,1617790514092,PuRe,42,76,-1,-1,3.27467,11,42,0.261905,50,76,0.657895,322.262,642.879,1110.03,502.404,85.0509,8.19342,90.5318,200.033,0,0,0.314286,0
1599579490722.bmp,1617790514114,PuRe,49,47,-1,-1,2.54637,13,49,0.265306,14,47,0.297872,218.91,322.776,922.824,469.999,14.5347,70.3298,105.779,102.962,0.323529,0,0.411765,0
1599579490768.bmp,1617790514136,PuRe,39,46,-1,-1,1.86888,18,39,0.461538,9,46,0.195652,679.624,213.438,1044.28,391.435,136.444,140.557,92.5999,96.4618,0.0909091,0,0,0
1599579490802.bmp,1617790514158,PuRe,47,53,-1,-1,2.07518,16,47,0.340426,17,53,0.320755,550.619,290.808,834.244,424.77,30.3859,47.7034,105.044,117.351,0.393939,0,0.242424,0
1599579490835.bmp,1617790514180,PuRe,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,197.081,190.081,620.081,173.081,-1,-1,15.708,15.708,-1,-1,-1,-1
1599579490868.bmp,1617790514202,PuRe,36,-1,-1,-1,-1,11,36,0.305556,-1,-1,1,714.324,539.19,620.081,173.081,80.9707,-1,79.1452,15.708,0,0,-1,-1
1599579490902.bmp,1617790514224,PuRe,52,78,-1,-1,2.59089,12,52,0.230769,41,78,0.525641,469.217,643.873,656.821,533.151,88.7365,48.9003,110.601,191.47,0,0,0.470588,0
1599579490935.bmp,1617790514246,PuRe,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,197.081,190.081,620.081,173.081,-1,-1,15.708,15.708,-1,-1,-1,-1
