filename,timestamp_ms,algorithm,diameterMain_px,diameterSec_px,undistortedDiameterMain_px,undistortedDiameterSec_px,physicalDiameter_mm,widthMain_px,heightMain_px,axisRatioMain,widthSec_px,heightSec_px,axisRatioSec,centerMain_x,centerMain_y,centerSec_x,centerSec_y,angleMain_deg,angleSec_deg,circumferenceMain_px,circumferenceSec_px,confidenceMain,outlineConfidenceMain,confidenceSec,outlineConfidenceSec
1599577799772.bmp,1617791873576,PuReST,62,53,-1,-1,2.5604,19,62,0.306452,12,53,0.226415,783.308,398.049,1188.93,433.103,98.6602,137.422,136.362,112.524,0.333333,0,0,0
1599577799805.bmp,1617791873598,PuReST,-1,43,-1,-1,-1,-1,-1,1,20,43,0.465116,228.081,163.081,1225.81,526.093,-1,27.2011,15.708,102.286,-1,-1,0.424242,0
1599577799838.bmp,1617791873620,PuReST,47,46,-1,-1,2.1041,31,47,0.659574,14,46,0.304348,642.254,624.265,1055.87,373.531,122.421,164.319,123.814,101.073,0.205882,0,0.470588,0
1599577799872.bmp,1617791873642,PuReST,54,66,-1,-1,2.65239,30,54,0.555556,32,66,0.484848,715.594,471.201,1109.78,499.204,2.47892,116.368,134.654,158.606,0.5,0,0.411765,0
1599577799905.bmp,1617791873664,PuReST,-1,48,-1,-1,-1,-1,-1,1,28,48,0.583333,228.081,163.081,930.769,204.889,-1,176.207,15.708,121.456,-1,-1,0.558824,0
1599577799938.bmp,1617791873686,PuReST,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,228.081,163.081,627.081,126.081,-1,-1,15.708,15.708,-1,-1,-1,-1
1599577799972.bmp,1617791873708,PuReST,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,228.081,163.081,627.081,126.081,-1,-1,15.708,15.708,-1,-1,-1,-1
1599577800005.bmp,1617791873730,PuReST,47,-1,-1,-1,-1,27,47,0.574468,-1,-1,1,820.637,191.658,627.081,126.081,90.284,-1,118.371,15.708,0.25,0,-1,-1
1599577800038.bmp,1617791873752,PuReST,49,46,-1,-1,2.26933,15,49,0.306122,19,46,0.413043,682.721,614.674,1213.67,137.812,89.9122,110.635,107.754,106.555,0.1875,0,0.212121,0
1599577800072.bmp,1617791873774,PuReST,-1,46,-1,-1,-1,-1,-1,1,18,46,0.391304,228.081,163.081,1229.28,563.797,-1,7.54406,15.708,105.4,-1,-1,0.34375,0
1599577800105.bmp,1617791873796,PuReST,55,47,-1,-1,2.53094,31,55,0.563636,22,47,0.468085,468.739,528.665,1056.6,544.902,54.2426,157.056,137.732,111.972,0.617647,0,0.484848,0
1599577800138.bmp,1617791873818,PuReST,52,45,-1,-1,2.36955,22,52,0.423077,11,45,0.244444,656.419,287.436,1229.48,260.496,69.8717,16.925,121.065,96.2669,0.46875,0,0,0
1599577800172.bmp,1617791873840,PuReST,56,71,-1,-1,2.661,17,56,0.303571,48,71,0.676056,555.787,275.043,863.304,363.167,32.0873,30.3298,123.002,188.675,0.264706,0,0.242424,0
1599577800205.bmp,1617791873862,PuReST,56,-1,-1,-1,-1,21,56,0.375,-1,-1,1,243.201,460.781,627.081,126.081,166.842,-1,127.282,15.708,0.294118,0,-1,-1
1599577800238.bmp,1617791873884,PuReST,82,49,-1,-1,4.05684,59,82,0.719512,15,49,0.306122,284.224,500.566,1180.21,400.932,48.6523,117.372,222.958,107.754,0.470588,0,0.34375,0
1599577800272.bmp,1617791873906,PuReST,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,228.081,163.081,627.081,126.081,-1,-1,15.708,15.708,-1,-1,-1,-1
1599577800305.bmp,1617791873928,PuReST,73,44,-1,-1,2.28622,57,73,0.780822,15,44,0.340909,507.352,409.28,646.574,148.855,165.477,36.4514,204.978,98.3618,0.441176,0,0.4,0
1599577800338.bmp,1617791873950,PuReST,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,228.081,163.081,627.081,126.081,-1,-1,15.708,15.708,-1,-1,-1,-1
1599577800372.bmp,1617791873972,PuReST,66,116,-1,-1,3.73272,19,66,0.287879,82,116,0.706897,515.337,613.772,793.858,406.67,92.4559,140.523,143.926,313.315,0.225806,0,0.333333,0
1599577800405.bmp,1617791873994,PuReST,45,56,-1,-1,2.2142,33,45,0.733333,13,56,0.232143,728.826,429.095,1079.48,427.487,60.6226,103.769,123.248,119.177,0.257143,0,0.333333,0
1599577800438.bmp,1617791874016,PuReST,-1,62,-1,-1,-1,-1,-1,1,18,62,0.290323,228.081,163.081,641.56,154.301,-1,1.59394,15.708,135.354,-1,-1,0.25,0
1599577800472.bmp,1617791874038,PuReST,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,228.081,163.081,627.081,126.081,-1,-1,15.708,15.708,-1,-1,-1,-1
1599577800505.bmp,1617791874060,PuReST,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,228.081,163.081,627.081,126.081,-1,-1,15.708,15.708,-1,-1,-1,-1
