filename,timestamp_ms,algorithm,diameterMain_px,diameterSec_px,undistortedDiameterMain_px,undistortedDiameterSec_px,physicalDiameter_mm,widthMain_px,heightMain_px,axisRatioMain,widthSec_px,heightSec_px,axisRatioSec,centerMain_x,centerMain_y,centerSec_x,centerSec_y,angleMain_deg,angleSec_deg,circumferenceMain_px,circumferenceSec_px,confidenceMain,outlineConfidenceMain,confidenceSec,outlineConfidenceSec
1599578281923.bmp,1617792148762,PuReST,43,45,-1,-1,1.5702,13,43,0.302326,24,45,0.533333,749.415,315.53,677.16,619.365,68.9793,87.6759,94.3933,110.91,0.34375,0,0.151515,0
1599578281951.bmp,1617792148784,PuReST,52,-1,-1,-1,-1,10,52,0.192308,-1,-1,1,464.82,522.112,634.081,177.081,14.2175,-1,108.903,15.708,0,0,-1,-1
1599578281990.bmp,1617792148806,PuReST,-1,69,-1,-1,-1,-1,-1,1,40,69,0.57971,180.081,177.081,1039.48,329.755,-1,36.1437,15.708,174.26,-1,-1,0.470588,0
1599578282023.bmp,1617792148828,PuReST,46,53,-1,-1,2.86823,19,46,0.413043,19,53,0.358491,354.962,372.005,1189.32,185.072,103.157,79.1794,106.555,119.493,0.176471,0,0.264706,0
1599578282051.bmp,1617792148850,PuReST,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,180.081,177.081,634.081,177.081,-1,-1,15.708,15.708,-1,-1,-1,-1
1599578282090.bmp,1617792148872,PuReST,50,56,-1,-1,2.52033,13,50,0.26,14,56,0.25,714.48,368.091,1224.45,547.674,128.485,175.402,107.686,120.085,0.382353,0,0.4,0
1599578282123.bmp,1617792148894,PuReST,49,43,-1,-1,1.92587,13,49,0.265306,23,43,0.534884,602.211,191.694,881.559,578.51,83.6824,72.7477,105.779,106.066,0.28125,0,0.53125,0
1599578282151.bmp,1617792148916,PuReST,79,-1,-1,-1,-1,32,79,0.405063,-1,-1,1,689.168,388.552,634.081,177.081,96.0193,-1,182.263,15.708,0.4,0,-1,-1
1599578282190.bmp,1617792148938,PuReST,48,-1,-1,-1,-1,11,48,0.229167,-1,-1,1,234.155,631.789,634.081,177.081,86.9404,-1,102.025,15.708,0,0,-1,-1
1599578282223.bmp,1617792148960,PuReST,-1,52,-1,-1,-1,-1,-1,1,25,52,0.480769,180.081,177.081,840.782,430.771,-1,153.427,15.708,124.698,-1,-1,0.542857,0
1599578282256.bmp,1617792148982,PuReST,47,-1,-1,-1,-1,11,47,0.234043,-1,-1,1,351.93,616.08,634.081,177.081,80.123,-1,100.103,15.708,0,0,-1,-1
1599578282290.bmp,1617792149004,PuReST,66,44,-1,-1,2.94538,47,66,0.712121,23,44,0.522727,333.64,576.165,1032.4,460.654,30.6046,14.1519,178.757,107.844,0.441176,0,0.454545,0
1599578282323.bmp,1617792149026,PuReST,-1,42,-1,-1,-1,-1,-1,1,13,42,0.309524,180.081,177.081,756.966,262.535,-1,156.296,15.708,92.5067,-1,-1,0.151515,0
1599578282356.bmp,1617792149048,PuReST,78,98,-1,-1,3.55726,16,78,0.205128,66,98,0.673469,426.552,224.537,674.978,446.667,14.8092,29.4937,164.176,260.068,0.257143,0,0.333333,0
1599578282390.bmp,1617792149070,PuReST,-1,55,-1,-1,-1,-1,-1,1,31,55,0.563636,180.081,177.081,1082.36,401.802,-1,152.506,15.708,137.732,-1,-1,0.342857,0
1599578282423.bmp,1617792149092,PuReST,-1,47,-1,-1,-1,-1,-1,1,11,47,0.234043,180.081,177.081,1102.85,628.912,-1,84.0972,15.708,100.103,-1,-1,0,0
1599578282456.bmp,1617792149114,PuReST,51,56,-1,-1,2.41596,22,51,0.431373,13,56,0.232143,244.53,577.555,685.413,277.553,142.329,153.679,119.238,119.177,0.323529,0,0.272727,0
1599578282490.bmp,1617792149136,PuReST,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,180.081,177.081,634.081,177.081,-1,-1,15.708,15.708,-1,-1,-1,-1
1599578282523.bmp,1617792149158,PuReST,46,43,-1,-1,1.82493,9,46,0.195652,19,43,0.44186,408.806,632.049,647.367,380.874,84.3417,161.895,96.4618,101.072,0,0,0.21875,0
1599578282556.bmp,1617792149180,PuReST,45,-1,-1,-1,-1,22,45,0.488889,-1,-1,1,200.851,524.521,634.081,177.081,134.058,-1,108.367,15.708,0.228571,0,-1,-1
1599578282585.bmp,1617792149202,PuReST,44,45,-1,-1,1.85673,12,44,0.272727,11,45,0.244444,500.511,632.342,757.688,630.326,95.8928,95.8312,95.2982,96.2669,0,0,0,0
1599578282623.bmp,1617792149224,PuReST,49,60,-1,-1,2.15937,18,49,0.367347,15,60,0.25,535.039,629.012,700.227,528.252,94.4698,80.629,110.953,128.663,0.193548,0,0.15625,0
1599578282656.bmp,1617792149246,PuReST,77,-1,-1,-1,-1,16,77,0.207792,-1,-1,1,348.663,507.129,634.081,177.081,84.6673,-1,162.243,15.708,0.30303,0,-1,-1
1599578282690.bmp,1617792149268,PuReST,45,-1,-1,-1,-1,13,45,0.288889,-1,-1,1,551.969,626.657,634.081,177.081,100.426,-1,98.1765,15.708,0.290323,0,-1,-1
1599578282723.bmp,1617792149290,PuReST,49,41,-1,-1,1.94431,33,49,0.673469,9,41,0.219512,766.426,488.181,1088.13,185.424,92.9416,92.1853,130.034,86.7994,0.441176,0,0,0
