filename,timestamp_ms,algorithm,diameterMain_px,diameterSec_px,undistortedDiameterMain_px,undistortedDiameterSec_px,physicalDiameter_mm,widthMain_px,heightMain_px,axisRatioMain,widthSec_px,heightSec_px,axisRatioSec,centerMain_x,centerMain_y,centerSec_x,centerSec_y,angleMain_deg,angleSec_deg,circumferenceMain_px,circumferenceSec_px,confidenceMain,outlineConfidenceMain,confidenceSec,outlineConfidenceSec
1599578614462.bmp,1617792437171,PuReST,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,207.081,160.081,630.081,150.081,-1,-1,15.708,15.708,-1,-1,-1,-1
1599578614489.bmp,1617792437193,PuReST,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,207.081,160.081,630.081,150.081,-1,-1,15.708,15.708,-1,-1,-1,-1
1599578614529.bmp,1617792437215,PuReST,168,-1,-1,-1,-1,71,168,0.422619,-1,-1,1,583.524,272.924,630.081,150.081,112.593,-1,391.043,15.708,0.235294,0,-1,-1
1599578614562.bmp,1617792437237,PuReST,-1,49,-1,-1,-1,-1,-1,1,18,49,0.367347,207.081,160.081,646.776,538.542,-1,30.2199,15.708,110.953,-1,-1,0.382353,0
1599578614596.bmp,1617792437259,PuReST,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,207.081,160.081,630.081,150.081,-1,-1,15.708,15.708,-1,-1,-1,-1
1599578614629.bmp,1617792437281,PuReST,-1,44,-1,-1,-1,-1,-1,1,20,44,0.454545,207.081,160.081,1171.4,498.481,-1,77.4124,15.708,104.097,-1,-1,0.382353,0
1599578614662.bmp,1617792437303,PuReST,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,207.081,160.081,630.081,150.081,-1,-1,15.708,15.708,-1,-1,-1,-1
1599578614696.bmp,1617792437325,PuReST,53,-1,-1,-1,-1,27,53,0.509434,-1,-1,1,449.97,563.918,630.081,150.081,146.223,-1,129.004,15.708,0.294118,0,-1,-1
1599578614729.bmp,1617792437347,PuReST,41,-1,-1,-1,-1,11,41,0.268293,-1,-1,1,653.27,169.596,630.081,150.081,97.5715,-1,88.6257,15.708,0,0,-1,-1
1599578614762.bmp,1617792437369,PuReST,45,52,-1,-1,2.05216,11,45,0.244444,19,52,0.365385,696.58,613.789,1009.32,504.425,87.5693,176.446,96.2669,117.633,0,0,0.375,0
1599578614796.bmp,1617792437391,PuReST,-1,58,-1,-1,-1,-1,-1,1,15,58,0.258621,207.081,160.081,893.126,603.363,-1,90.855,15.708,124.84,-1,-1,0.266667,0
1599578614829.bmp,1617792437413,PuReST,52,47,-1,-1,3.05698,27,52,0.519231,24,47,0.510638,261.124,208.025,1181.82,355.145,107.73,54.7908,127.219,114.472,0.34375,0,0.2,0
1599578614862.bmp,1617792437435,PuReST,-1,46,-1,-1,-1,-1,-1,1,12,46,0.26087,207.081,160.081,830.663,451.355,-1,80.0447,15.708,99.1088,-1,-1,0.393939,0
1599578614896.bmp,1617792437457,PuReST,49,44,-1,-1,3.03978,14,49,0.285714,15,44,0.340909,245.281,413.702,1230.38,364.81,0.194248,26.6251,106.749,98.3618,0.3125,0,0.28125,0
1599578614929.bmp,1617792437479,PuReST,58,-1,-1,-1,-1,16,58,0.275862,-1,-1,1,660.55,611.391,630.081,150.081,92.4891,-1,125.796,15.708,0.322581,0,-1,-1
1599578614962.bmp,1617792437501,PuReST,55,47,-1,-1,2.51512,24,55,0.436364,13,47,0.276596,366.532,381.247,944.621,603.793,113.949,85.4339,128.917,101.972,0.363636,0,0.290323,0
1599578614996.bmp,1617792437523,PuReST,44,47,-1,-1,2.60379,14,44,0.318182,15,47,0.319149,233.883,291.131,1044.8,602.51,87.5884,91.1188,97.3052,103.987,0.233333,0,0.258065,0
1599578615029.bmp,1617792437545,PuReST,49,109,-1,-1,4.13067,11,49,0.22449,51,109,0.46789,216.967,562.319,930.887,551.804,168.063,6.85227,103.948,259.653,0,0,0.571429,0
1599578615055.bmp,1617792437567,PuReST,-1,58,-1,-1,-1,-1,-1,1,49,58,0.844828,207.081,160.081,942.866,534.644,-1,162.301,15.708,168.373,-1,-1,0.323529,0
1599578615096.bmp,1617792437589,PuReST,45,45,-1,-1,2.11256,18,45,0.4,34,45,0.755556,637.388,513.01,1138.17,504.91,11.6449,77.7965,103.558,124.695,0.382353,0,0.575758,0
1599578615129.bmp,1617792437611,PuReST,49,-1,-1,-1,-1,13,49,0.265306,-1,-1,1,561.179,582.297,630.081,150.081,84.5033,-1,105.779,15.708,0.272727,0,-1,-1
1599578615162.bmp,1617792437633,PuReST,107,53,-1,-1,3.33063,22,107,0.205607,31,53,0.584906,451.436,465.253,731.757,595.025,43.8781,78.0609,225.259,134.219,0.352941,0,0.294118,0
1599578615196.bmp,1617792437655,PuReST,47,-1,-1,-1,-1,12,47,0.255319,-1,-1,1,218.624,347.769,630.081,150.081,168.244,-1,101.018,15.708,0,0,-1,-1
1599578615229.bmp,1617792437677,PuReST,-1,49,-1,-1,-1,-1,-1,1,21,49,0.428571,207.081,160.081,818.95,201.013,-1,103.047,15.708,114.399,-1,-1,0.212121,0
1599578615262.bmp,1617792437699,PuReST,54,-1,-1,-1,-1,33,54,0.611111,-1,-1,1,283.954,478.138,630.081,150.081,26.2416,-1,138.657,15.708,0.151515,0,-1,-1
1599578615296.bmp,1617792437721,PuReST,48,48,-1,-1,2.19587,17,48,0.354167,44,48,0.916667,497.066,248.946,962.137,303.629,8.61466,108.812,107.993,144.582,0.0909091,0,0.441176,0
1599578615329.bmp,1617792437743,PuReST,-1,51,-1,-1,-1,-1,-1,1,20,51,0.392157,207.081,160.081,647.974,175.787,-1,15.3156,15.708,116.907,-1,-1,0.242424,0
1599578615362.bmp,1617792437765,PuReST,41,-1,-1,-1,-1,17,41,0.414634,-1,-1,1,218.751,446.728,630.081,150.081,173.547,-1,95.0488,15.708,0.25,0,-1,-1
