filename,timestamp_ms,algorithm,diameterMain_px,diameterSec_px,undistortedDiameterMain_px,undistortedDiameterSec_px,physicalDiameter_mm,widthMain_px,heightMain_px,axisRatioMain,widthSec_px,heightSec_px,axisRatioSec,centerMain_x,centerMain_y,centerSec_x,centerSec_y,angleMain_deg,angleSec_deg,circumferenceMain_px,circumferenceSec_px,confidenceMain,outlineConfidenceMain,confidenceSec,outlineConfidenceSec
1599578903820.bmp,1617792730404,PuReST,50,-1,-1,-1,-1,15,50,0.3,-1,-1,1,493.815,431.648,593.081,153.081,92.0861,-1,109.642,15.708,0.53125,0,-1,-1
1599578903853.bmp,1617792730426,PuReST,-1,63,-1,-1,-1,-1,-1,1,19,63,0.301587,180.081,173.081,727.541,167.446,-1,80.7756,15.708,138.25,-1,-1,0.294118,0
1599578903887.bmp,1617792730448,PuReST,66,-1,-1,-1,-1,20,66,0.30303,-1,-1,1,382.397,622.818,593.081,153.081,80.9535,-1,144.93,15.708,0.242424,0,-1,-1
1599578903920.bmp,1617792730470,PuReST,47,-1,-1,-1,-1,24,47,0.510638,-1,-1,1,522.874,455.542,593.081,153.081,114.925,-1,114.472,15.708,0.212121,0,-1,-1
1599578903953.bmp,1617792730492,PuReST,52,-1,-1,-1,-1,32,52,0.615385,-1,-1,1,245.491,531.688,593.081,153.081,101.417,-1,133.824,15.708,0.441176,0,-1,-1
1599578903987.bmp,1617792730514,PuReST,59,49,-1,-1,2.40119,14,59,0.237288,13,49,0.265306,294.022,234.526,694.549,575.726,121.6,31.0247,125.833,105.779,0.272727,0,0.272727,0
1599578904020.bmp,1617792730536,PuReST,85,47,-1,-1,3.14729,46,85,0.541176,15,47,0.319149,226.863,307.478,731.008,606.114,76.6825,88.1745,210.359,103.987,0.444444,0,0.354839,0
1599578904053.bmp,1617792730558,PuReST,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,180.081,173.081,593.081,153.081,-1,-1,15.708,15.708,-1,-1,-1,-1
1599578904087.bmp,1617792730580,PuReST,58,85,-1,-1,3.43397,30,58,0.517241,50,85,0.588235,329.802,444.097,892.031,224.289,127.822,156.12,141.751,215.636,0.411765,0,0.25,0
1599578904120.bmp,1617792730602,PuReST,47,-1,-1,-1,-1,15,47,0.319149,-1,-1,1,412.085,623.208,593.081,153.081,91.1361,-1,103.987,15.708,0.375,0,-1,-1
