filename,timestamp_ms,algorithm,diameterMain_px,diameterSec_px,undistortedDiameterMain_px,undistortedDiameterSec_px,physicalDiameter_mm,widthMain_px,heightMain_px,axisRatioMain,widthSec_px,heightSec_px,axisRatioSec,centerMain_x,centerMain_y,centerSec_x,centerSec_y,angleMain_deg,angleSec_deg,circumferenceMain_px,circumferenceSec_px,confidenceMain,outlineConfidenceMain,confidenceSec,outlineConfidenceSec
1599579195468.bmp,1617793013725,PuReST,-1,52,-1,-1,-1,-1,-1,1,34,52,0.653846,187.081,190.081,1010.28,566.355,-1,98.3561,15.708,136.572,-1,-1,0.235294,0
1599579195502.bmp,1617793013747,PuReST,50,52,-1,-1,2.2556,23,50,0.46,27,52,0.519231,618.88,226.348,1025.42,264.294,44.491,91.4408,118.624,127.219,0.361111,0,0.30303,0
1599579195535.bmp,1617793013769,PuReST,50,-1,-1,-1,-1,38,50,0.76,-1,-1,1,215.301,629.502,620.081,167.081,88.2928,-1,138.873,15.708,0.363636,0,-1,-1
1599579195568.bmp,1617793013791,PuReST,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,187.081,190.081,620.081,167.081,-1,-1,15.708,15.708,-1,-1,-1,-1
1599579195602.bmp,1617793013813,PuReST,57,48,-1,-1,2.08089,16,57,0.280702,15,48,0.3125,438.087,227.545,632.096,455.971,164.992,178.681,123.897,105.869,0.323529,0,0.333333,0
1599579195635.bmp,1617793013835,PuReST,46,-1,-1,-1,-1,13,46,0.282609,-1,-1,1,236.147,642.046,620.081,167.081,88.2096,-1,100.073,15.708,0.34375,0,-1,-1
1599579195668.bmp,1617793013857,PuReST,124,-1,-1,-1,-1,36,124,0.290323,-1,-1,1,538.183,229.944,620.081,167.081,114.443,-1,270.708,15.708,0.5,0,-1,-1
1599579195702.bmp,1617793013879,PuReST,-1,42,-1,-1,-1,-1,-1,1,11,42,0.261905,187.081,190.081,963.562,619.157,-1,97.9166,15.708,90.5318,-1,-1,0,0
1599579195735.bmp,1617793013901,PuReST,49,-1,-1,-1,-1,36,49,0.734694,-1,-1,1,747.629,391.452,620.081,167.081,103.321,-1,134.3,15.708,0.25,0,-1,-1
1599579195768.bmp,1617793013923,PuReST,48,-1,-1,-1,-1,13,48,0.270833,-1,-1,1,602.728,231.18,620.081,167.081,162.675,-1,103.874,15.708,0.272727,0,-1,-1
1599579195802.bmp,1617793013945,PuReST,-1,48,-1,-1,-1,-1,-1,1,13,48,0.270833,187.081,190.081,1100.07,617.492,-1,102.001,15.708,103.874,-1,-1,0.393939,0.0285714
1599579195835.bmp,1617793013967,PuReST,55,58,-1,-1,2.38446,29,55,0.527273,18,58,0.310345,553.129,602.028,842.946,352.293,145.999,92.7471,135.126,127.796,0.424242,0,0.21875,0
1599579195868.bmp,1617793013989,PuReST,80,46,-1,-1,2.74999,33,80,0.4125,21,46,0.456522,505.465,411.77,863.859,198.898,161.834,13.5704,185.262,108.939,0.606061,0,0.30303,0
1599579195902.bmp,1617793014011,PuReST,-1,50,-1,-1,-1,-1,-1,1,28,50,0.56,187.081,190.081,1023.94,434.628,-1,67.3975,15.708,124.971,-1,-1,0.411765,0
1599579195924.bmp,1617793014033,PuReST,-1,55,-1,-1,-1,-1,-1,1,12,55,0.218182,187.081,190.081,801.387,188.742,-1,125.506,15.708,116.375,-1,-1,0.264706,0
