filename,timestamp_ms,algorithm,diameterMain_px,diameterSec_px,undistortedDiameterMain_px,undistortedDiameterSec_px,physicalDiameter_mm,widthMain_px,heightMain_px,axisRatioMain,widthSec_px,heightSec_px,axisRatioSec,centerMain_x,centerMain_y,centerSec_x,centerSec_y,angleMain_deg,angleSec_deg,circumferenceMain_px,circumferenceSec_px,confidenceMain,outlineConfidenceMain,confidenceSec,outlineConfidenceSec
1599579489668.bmp,1617793302923,PuReST,90,-1,-1,-1,-1,47,90,0.522222,-1,-1,1,682.658,292.641,637.081,177.081,122.753,-1,220.532,15.708,0.441176,0,-1,-1
1599579489702.bmp,1617793302945,PuReST,50,-1,-1,-1,-1,22,50,0.44,-1,-1,1,503.578,310.976,637.081,177.081,143.991,-1,117.415,15.708,0.242424,0,-1,-1
1599579489735.bmp,1617793302967,PuReST,53,41,-1,-1,1.64758,18,53,0.339623,10,41,0.243902,805.067,496.042,675.528,631.277,18.4209,93.2743,118.408,87.6895,0.242424,0,0,0
1599579489768.bmp,1617793302989,PuReST,-1,22,-1,-1,-1,-1,-1,1,13,22,0.590909,207.081,190.081,946.094,387.78,-1,0,15.708,55.8905,-1,-1,0.40625,0
1599579489802.bmp,1617793303011,PuReST,68,51,-1,-1,2.72052,29,68,0.426471,25,51,0.490196,674.23,591.899,1115.73,606.521,105.367,109.129,158.588,122.899,0.371429,0,0.441176,0
1599579489835.bmp,1617793303033,PuReST,-1,49,-1,-1,-1,-1,-1,1,14,49,0.285714,207.081,190.081,1143.72,316.375,-1,63.3924,15.708,106.749,-1,-1,0.34375,0
1599579489855.bmp,1617793303055,PuReST,61,-1,-1,-1,-1,39,61,0.639344,-1,-1,1,237.513,228.402,637.081,177.081,112.348,-1,158.986,15.708,0.411765,0,-1,-1
1599579489902.bmp,1617793303077,PuReST,78,41,-1,-1,2.77823,28,78,0.358974,15,41,0.365854,591.853,591.033,1063.82,629.048,161.841,83.8646,175.899,92.7707,0.371429,0,0.28125,0
1599579489935.bmp,1617793303099,PuReST,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,207.081,190.081,637.081,177.081,-1,-1,15.708,15.708,-1,-1,-1,-1
1599579489968.bmp,1617793303121,PuReST,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,207.081,190.081,637.081,177.081,-1,-1,15.708,15.708,-1,-1,-1,-1
1599579490002.bmp,1617793303143,PuReST,72,42,-1,-1,2.42955,16,72,0.222222,32,42,0.761905,344.486,515.931,659.255,610.896,120.767,173.903,152.598,116.77,0.30303,0,0.257143,0
1599579490035.bmp,1617793303165,PuReST,-1,51,-1,-1,-1,-1,-1,1,14,51,0.27451,207.081,190.081,787.098,540.561,-1,79.0568,15.708,110.547,-1,-1,0.235294,0
1599579490068.bmp,1617793303187,PuReST,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,207.081,190.081,637.081,177.081,-1,-1,15.708,15.708,-1,-1,-1,-1
1599579490102.bmp,1617793303209,PuReST,64,45,-1,-1,3.27353,41,64,0.640625,16,45,0.355556,305.235,437.448,1163.57,367.389,95.0089,41.0234,166.918,101.311,0.5,0,0.117647,0
1599579490122.bmp,1617793303231,PuReST,60,-1,-1,-1,-1,20,60,0.333333,-1,-1,1,496.811,504.184,637.081,177.081,73.9852,-1,133.644,15.708,0.285714,0,-1,-1
1599579490168.bmp,1617793303253,PuReST,60,-1,-1,-1,-1,27,60,0.45,-1,-1,1,428.559,458.715,637.081,177.081,91.1208,-1,141.62,15.708,0.484848,0,-1,-1
1599579490202.bmp,1617793303275,PuReST,51,-1,-1,-1,-1,15,51,0.294118,-1,-1,1,659.943,529.555,637.081,177.081,145.351,-1,111.533,15.708,0.4375,0,-1,-1
1599579490235.bmp,1617793303297,PuReST,49,79,-1,-1,2.60522,12,49,0.244898,42,79,0.531646,637.294,371.415,872.475,273.32,43.2164,10.2031,104.844,194.536,0,0,0.542857,0
1599579490268.bmp,1617793303319,PuReST,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,207.081,190.081,637.081,177.081,-1,-1,15.708,15.708,-1,-1,-1,-1
1599579490288.bmp,1617793303341,PuReST,45,66,-1,-1,2.32605,13,45,0.288889,13,66,0.19697,488.129,627.157,785.868,446.323,18.9492,13.3773,98.1765,138.473,0.235294,0,0.30303,0
1599579490335.bmp,1617793303363,PuReST,-1,55,-1,-1,-1,-1,-1,1,18,55,0.327273,207.081,190.081,783.569,543.905,-1,80.7697,15.708,122.155,-1,-1,0.393939,0
1599579490368.bmp,1617793303385,PuReST,-1,49,-1,-1,-1,-1,-1,1,28,49,0.571429,207.081,190.081,799.901,511.726,-1,167.563,15.708,123.211,-1,-1,0.484848,0
1599579490402.bmp,1617793303407,PuReST,23,44,-1,-1,2.03416,20,23,0.869565,27,44,0.613636,350.893,300.861,1235.63,571.469,0,19.1874,67.6265,113.131,0.25,0,0.363636,0
1599579490422.bmp,1617793303429,PuReST,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,207.081,190.081,637.081,177.081,-1,-1,15.708,15.708,-1,-1,-1,-1
1599579490455.bmp,1617793303451,PuReST,-1,53,-1,-1,-1,-1,-1,1,35,53,0.660377,207.081,190.081,854.963,365.122,-1,38.4181,15.708,139.68,-1,-1,0.617647,0
1599579490502.bmp,1617793303473,PuReST,46,-1,-1,-1,-1,21,46,0.456522,-1,-1,1,657.853,394.074,637.081,177.081,49.9933,-1,108.939,15.708,0.151515,0,-1,-1
1599579490535.bmp,1617793303495,PuReST,52,45,-1,-1,1.91253,15,52,0.288462,21,45,0.466667,774.7,613.366,915.366,292.335,67.6671,155.334,113.426,107.129,0.242424,0,0.314286,0
1599579490568.bmp,1617793303517,PuReST,42,-1,-1,-1,-1,13,42,0.309524,-1,-1,1,402.98,248.72,637.081,177.081,18.3142,-1,92.5067,15.708,0.454545,0,-1,-1
1599579490602.bmp,1617793303539,PuReST,-1,44,-1,-1,-1,-1,-1,1,16,44,0.363636,207.081,190.081,1152.1,627.869,-1,80.923,15.708,99.4509,-1,-1,0.375,0
1599579490635.bmp,1617793303561,PuReST,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,207.081,190.081,637.081,177.081,-1,-1,15.708,15.708,-1,-1,-1,-1
1599579490668.bmp,1617793303583,PuReST,78,43,-1,-1,3.08339,69,78,0.884615,15,43,0.348837,319.558,377.432,925.083,476.572,175.484,71.7846,231.123,96.494,0.527778,0,0.34375,0
1599579490702.bmp,1617793303605,PuReST,47,-1,-1,-1,-1,22,47,0.468085,-1,-1,1,581.298,452.942,637.081,177.081,125.742,-1,111.972,15.708,0.323529,0,-1,-1
1599579490722.bmp,1617793303627,PuReST,-1,78,-1,-1,-1,-1,-1,1,35,78,0.448718,207.081,190.081,1098.81,586.837,-1,115.621,15.708,183.985,-1,-1,0.5,0
1599579490768.bmp,1617793303649,PuReST,44,42,-1,-1,1.53077,24,44,0.545455,12,42,0.285714,728.66,637.386,645.398,348.475,57.2735,175.057,109.137,91.4994,0.28125,0,0,0
1599579490802.bmp,1617793303671,PuReST,49,62,-1,-1,2.50635,25,49,0.510204,39,62,0.629032,462.455,582.743,897.387,212.081,5.25702,4.31406,119.316,160.714,0.363636,0,0.205882,0
1599579490835.bmp,1617793303693,PuReST,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,207.081,190.081,637.081,177.081,-1,-1,15.708,15.708,-1,-1,-1,-1
1599579490868.bmp,1617793303715,PuReST,-1,61,-1,-1,-1,-1,-1,1,31,61,0.508197,207.081,190.081,1155.18,313.483,-1,113.1,15.708,148.381,-1,-1,0.588235,0
1599579490902.bmp,1617793303737,PuReST,52,57,-1,-1,3.16858,21,52,0.403846,16,57,0.280702,400.576,230.532,1235.92,592.878,60.9813,22.7054,119.897,123.897,0.166667,0,0.228571,0
1599579490935.bmp,1617793303759,PuReST,-1,46,-1,-1,-1,-1,-1,1,13,46,0.282609,207.081,190.081,806.869,630.084,-1,85.0734,15.708,100.073,-1,-1,0.34375,0
1599579490968.bmp,1617793303781,PuReST,73,-1,-1,-1,-1,53,73,0.726027,-1,-1,1,253.952,504.105,637.081,177.081,47.5915,-1,199.169,15.708,0.4,0,-1,-1
1599579491002.bmp,1617793303803,PuReST,-1,45,-1,-1,-1,-1,-1,1,35,45,0.777778,207.081,190.081,988.569,317.157,-1,44.7912,15.708,126.155,-1,-1,0.53125,0
1599579491035.bmp,1617793303825,PuReST,63,-1,-1,-1,-1,59,63,0.936508,-1,-1,1,367.904,333.783,637.081,177.081,84.4819,-1,191.689,15.708,0.583333,0,-1,-1
1599579491068.bmp,1617793303847,PuReST,41,63,-1,-1,3.34483,9,41,0.219512,35,63,0.555556,216.096,355.821,1196.83,600.451,167.189,6.88952,86.7994,157.096,0,0,0.470588,0
1599579491102.bmp,1617793303869,PuReST,53,-1,-1,-1,-1,31,53,0.584906,-1,-1,1,240.224,554.651,637.081,177.081,123.039,-1,134.219,15.708,0.545455,0,-1,-1
1599579491122.bmp,1617793303891,PuReST,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,207.081,190.081,637.081,177.081,-1,-1,15.708,15.708,-1,-1,-1,-1
1599579491168.bmp,1617793303913,PuReST,-1,65,-1,-1,-1,-1,-1,1,23,65,0.353846,207.081,190.081,1154.21,584.291,-1,98.4717,15.708,146.217,-1,-1,0.242424,0
1599579491202.bmp,1617793303935,PuReST,71,-1,-1,-1,-1,26,71,0.366197,-1,-1,1,278.678,634.444,637.081,177.081,78.5319,-1,160.679,15.708,0.529412,0,-1,-1
1599579491235.bmp,1617793303957,PuReST,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,207.081,190.081,637.081,177.081,-1,-1,15.708,15.708,-1,-1,-1,-1
1599579491268.bmp,1617793303979,PuReST,66,20,-1,-1,2.00427,24,66,0.363636,11,20,0.55,226.497,525.121,684.381,395.59,129.156,0,149.176,49.7262,0.138889,0,0,0
1599579491302.bmp,1617793304001,PuReST,46,-1,-1,-1,-1,16,46,0.347826,-1,-1,1,478.24,420.935,637.081,177.081,28.7798,-1,103.176,15.708,0.25,0,-1,-1
1599579491335.bmp,1617793304023,PuReST,62,48,-1,-1,3.15484,29,62,0.467742,20,48,0.416667,239.114,464.01,1047.14,597.625,87.5155,99.1012,147.681,111.391,0.294118,0,0.264706,0
1599579491368.bmp,1617793304045,PuReST,48,-1,-1,-1,-1,38,48,0.791667,-1,-1,1,633.044,372.098,637.081,177.081,109.217,-1,135.546,15.708,0.4,0,-1,-1
1599579491402.bmp,1617793304067,PuReST,47,-1,-1,-1,-1,16,47,0.340426,-1,-1,1,388.691,632.396,637.081,177.081,108.98,-1,105.044,15.708,0.272727,0,-1,-1
1599579491435.bmp,1617793304089,PuReST,-1,89,-1,-1,-1,-1,-1,1,70,89,0.786517,207.081,190.081,986.304,543.192,-1,0,15.708,250.649,-1,-1,0.3125,0
1599579491468.bmp,1617793304111,PuReST,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,207.081,190.081,637.081,177.081,-1,-1,15.708,15.708,-1,-1,-1,-1
1599579491502.bmp,1617793304133,PuReST,42,-1,-1,-1,-1,11,42,0.261905,-1,-1,1,216.886,400.17,637.081,177.081,176.271,-1,90.5318,15.708,0,0,-1,-1
1599579491535.bmp,1617793304155,PuReST,-1,60,-1,-1,-1,-1,-1,1,14,60,0.233333,207.081,190.081,831.933,508.383,-1,34.0461,15.708,127.753,-1,-1,0.323529,0
1599579491568.bmp,1617793304177,PuReST,-1,69,-1,-1,-1,-1,-1,1,14,69,0.202899,207.081,190.081,1018.65,575.495,-1,115.732,15.708,145.104,-1,-1,0.323529,0
1599579491602.bmp,1617793304199,PuReST,46,-1,-1,-1,-1,11,46,0.23913,-1,-1,1,505.366,199.463,637.081,177.081,93.6325,-1,98.1838,15.708,0,0,-1,-1
1599579491635.bmp,1617793304221,PuReST,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,207.081,190.081,637.081,177.081,-1,-1,15.708,15.708,-1,-1,-1,-1
