filename,timestamp_ms,algorithm,diameterMain_px,diameterSec_px,undistortedDiameterMain_px,undistortedDiameterSec_px,physicalDiameter_mm,widthMain_px,heightMain_px,axisRatioMain,widthSec_px,heightSec_px,axisRatioSec,centerMain_x,centerMain_y,centerSec_x,centerSec_y,angleMain_deg,angleSec_deg,circumferenceMain_px,circumferenceSec_px,confidenceMain,outlineConfidenceMain,confidenceSec,outlineConfidenceSec
1599577799772.bmp,1617793961987,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,230,165,646,155,0,0,0,0,-1,-1,-1,-1
1599577799805.bmp,1617793962009,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,230,165,646,155,0,0,0,0,-1,-1,-1,-1
1599577799838.bmp,1617793962031,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,230,165,646,155,0,0,0,0,-1,-1,-1,-1
1599577799872.bmp,1617793962053,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,230,165,646,155,0,0,0,0,-1,-1,-1,-1
1599577799905.bmp,1617793962075,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,230,165,646,155,0,0,0,0,-1,-1,-1,-1
1599577799938.bmp,1617793962097,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,230,165,646,155,0,0,0,0,-1,-1,-1,-1
1599577799972.bmp,1617793962119,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,230,165,646,155,0,0,0,0,-1,-1,-1,-1
1599577800005.bmp,1617793962141,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,230,165,646,155,0,0,0,0,-1,-1,-1,-1
1599577800038.bmp,1617793962163,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,230,165,646,155,0,0,0,0,-1,-1,-1,-1
1599577800072.bmp,1617793962185,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,230,165,646,155,0,0,0,0,-1,-1,-1,-1
1599577800105.bmp,1617793962207,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,230,165,646,155,0,0,0,0,-1,-1,-1,-1
1599577800138.bmp,1617793962229,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,230,165,646,155,0,0,0,0,-1,-1,-1,-1
1599577800172.bmp,1617793962251,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,230,165,646,155,0,0,0,0,-1,-1,-1,-1
1599577800205.bmp,1617793962273,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,230,165,646,155,0,0,0,0,-1,-1,-1,-1
1599577800238.bmp,1617793962295,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,230,165,646,155,0,0,0,0,-1,-1,-1,-1
1599577800272.bmp,1617793962317,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,230,165,646,155,0,0,0,0,-1,-1,-1,-1
1599577800305.bmp,1617793962339,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,230,165,646,155,0,0,0,0,-1,-1,-1,-1
1599577800338.bmp,1617793962361,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,230,165,646,155,0,0,0,0,-1,-1,-1,-1
1599577800372.bmp,1617793962383,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,230,165,646,155,0,0,0,0,-1,-1,-1,-1
1599577800405.bmp,1617793962405,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,230,165,646,155,0,0,0,0,-1,-1,-1,-1
1599577800438.bmp,1617793962427,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,230,165,646,155,0,0,0,0,-1,-1,-1,-1
1599577800472.bmp,1617793962449,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,230,165,646,155,0,0,0,0,-1,-1,-1,-1
1599577800505.bmp,1617793962471,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,230,165,646,155,0,0,0,0,-1,-1,-1,-1
1599577800538.bmp,1617793962493,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,230,165,646,155,0,0,0,0,-1,-1,-1,-1
1599577800570.bmp,1617793962515,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,230,165,646,155,0,0,0,0,-1,-1,-1,-1
1599577800605.bmp,1617793962537,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,230,165,646,155,0,0,0,0,-1,-1,-1,-1
1599577800638.bmp,1617793962559,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,230,165,646,155,0,0,0,0,-1,-1,-1,-1
1599577800672.bmp,1617793962581,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,230,165,646,155,0,0,0,0,-1,-1,-1,-1
1599577800705.bmp,1617793962603,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,230,165,646,155,0,0,0,0,-1,-1,-1,-1
1599577800738.bmp,1617793962625,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,230,165,646,155,0,0,0,0,-1,-1,-1,-1
1599577800772.bmp,1617793962647,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,230,165,646,155,0,0,0,0,-1,-1,-1,-1
1599577800805.bmp,1617793962669,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,230,165,646,155,0,0,0,0,-1,-1,-1,-1
