filename,timestamp_ms,algorithm,diameterMain_px,diameterSec_px,undistortedDiameterMain_px,undistortedDiameterSec_px,physicalDiameter_mm,widthMain_px,heightMain_px,axisRatioMain,widthSec_px,heightSec_px,axisRatioSec,centerMain_x,centerMain_y,centerSec_x,centerSec_y,angleMain_deg,angleSec_deg,circumferenceMain_px,circumferenceSec_px,confidenceMain,outlineConfidenceMain,confidenceSec,outlineConfidenceSec
1599578281923.bmp,1617795131686,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,192,165,625,155,0,0,0,0,-1,-1,-1,-1
1599578281951.bmp,1617795131708,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,192,165,625,155,0,0,0,0,-1,-1,-1,-1
1599578281990.bmp,1617795131730,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,192,165,625,155,0,0,0,0,-1,-1,-1,-1
1599578282023.bmp,1617795131752,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,192,165,625,155,0,0,0,0,-1,-1,-1,-1
1599578282051.bmp,1617795131774,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,192,165,625,155,0,0,0,0,-1,-1,-1,-1
1599578282090.bmp,1617795131796,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,192,165,625,155,0,0,0,0,-1,-1,-1,-1
1599578282123.bmp,1617795131818,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,192,165,625,155,0,0,0,0,-1,-1,-1,-1
1599578282151.bmp,1617795131840,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,192,165,625,155,0,0,0,0,-1,-1,-1,-1
1599578282190.bmp,1617795131862,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,192,165,625,155,0,0,0,0,-1,-1,-1,-1
1599578282223.bmp,1617795131884,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,192,165,625,155,0,0,0,0,-1,-1,-1,-1
1599578282256.bmp,1617795131906,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,192,165,625,155,0,0,0,0,-1,-1,-1,-1
1599578282290.bmp,1617795131928,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,192,165,625,155,0,0,0,0,-1,-1,-1,-1
1599578282323.bmp,1617795131950,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,192,165,625,155,0,0,0,0,-1,-1,-1,-1
1599578282356.bmp,1617795131972,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,192,165,625,155,0,0,0,0,-1,-1,-1,-1
1599578282390.bmp,1617795131994,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,192,165,625,155,0,0,0,0,-1,-1,-1,-1
1599578282423.bmp,1617795132016,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,192,165,625,155,0,0,0,0,-1,-1,-1,-1
1599578282456.bmp,1617795132038,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,192,165,625,155,0,0,0,0,-1,-1,-1,-1
