filename,timestamp_ms,algorithm,diameterMain_px,diameterSec_px,undistortedDiameterMain_px,undistortedDiameterSec_px,physicalDiameter_mm,widthMain_px,heightMain_px,axisRatioMain,widthSec_px,heightSec_px,axisRatioSec,centerMain_x,centerMain_y,centerSec_x,centerSec_y,angleMain_deg,angleSec_deg,circumferenceMain_px,circumferenceSec_px,confidenceMain,outlineConfidenceMain,confidenceSec,outlineConfidenceSec
1599578614462.bmp,1617795418779,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578614489.bmp,1617795418801,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578614529.bmp,1617795418823,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578614562.bmp,1617795418845,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578614596.bmp,1617795418867,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578614629.bmp,1617795418889,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578614662.bmp,1617795418911,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578614696.bmp,1617795418933,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578614729.bmp,1617795418955,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578614762.bmp,1617795418977,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578614796.bmp,1617795418999,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578614829.bmp,1617795419021,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578614862.bmp,1617795419043,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578614896.bmp,1617795419065,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578614929.bmp,1617795419087,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578614962.bmp,1617795419109,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578614996.bmp,1617795419131,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578615029.bmp,1617795419153,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578615055.bmp,1617795419175,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578615096.bmp,1617795419197,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578615129.bmp,1617795419219,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578615162.bmp,1617795419241,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578615196.bmp,1617795419263,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578615229.bmp,1617795419285,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578615262.bmp,1617795419307,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578615296.bmp,1617795419329,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578615329.bmp,1617795419351,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578615362.bmp,1617795419373,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578615396.bmp,1617795419395,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578615429.bmp,1617795419417,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578615462.bmp,1617795419439,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578615489.bmp,1617795419461,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578615529.bmp,1617795419483,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578615562.bmp,1617795419505,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578615589.bmp,1617795419527,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578615629.bmp,1617795419549,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578615662.bmp,1617795419571,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578615696.bmp,1617795419593,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578615729.bmp,1617795419615,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578615762.bmp,1617795419637,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578615796.bmp,1617795419659,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578615829.bmp,1617795419681,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578615862.bmp,1617795419703,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578615896.bmp,1617795419725,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578615929.bmp,1617795419747,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578615962.bmp,1617795419769,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578615996.bmp,1617795419791,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578616029.bmp,1617795419813,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578616062.bmp,1617795419835,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578616096.bmp,1617795419857,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578616129.bmp,1617795419879,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578616162.bmp,1617795419901,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578616196.bmp,1617795419923,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578616229.bmp,1617795419945,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578616262.bmp,1617795419967,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578616296.bmp,1617795419989,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578616329.bmp,1617795420011,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578616355.bmp,1617795420033,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578616396.bmp,1617795420055,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578616429.bmp,1617795420077,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578616462.bmp,1617795420099,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578616488.bmp,1617795420121,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578616529.bmp,1617795420143,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578616562.bmp,1617795420165,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578616596.bmp,1617795420187,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578616629.bmp,1617795420209,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578616655.bmp,1617795420231,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578616696.bmp,1617795420253,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578616729.bmp,1617795420275,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578616762.bmp,1617795420297,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578616796.bmp,1617795420319,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578616822.bmp,1617795420341,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578616862.bmp,1617795420363,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578616896.bmp,1617795420385,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
1599578616929.bmp,1617795420407,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,223,202,639,162,0,0,0,0,-1,-1,-1,-1
