filename,timestamp_ms,algorithm,diameterMain_px,diameterSec_px,undistortedDiameterMain_px,undistortedDiameterSec_px,physicalDiameter_mm,widthMain_px,heightMain_px,axisRatioMain,widthSec_px,heightSec_px,axisRatioSec,centerMain_x,centerMain_y,centerSec_x,centerSec_y,angleMain_deg,angleSec_deg,circumferenceMain_px,circumferenceSec_px,confidenceMain,outlineConfidenceMain,confidenceSec,outlineConfidenceSec
1599578903820.bmp,1617795719523,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,209,179,639,172,0,0,0,0,-1,-1,-1,-1
1599578903853.bmp,1617795719545,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,209,179,639,172,0,0,0,0,-1,-1,-1,-1
1599578903887.bmp,1617795719567,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,209,179,639,172,0,0,0,0,-1,-1,-1,-1
1599578903920.bmp,1617795719589,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,209,179,639,172,0,0,0,0,-1,-1,-1,-1
1599578903953.bmp,1617795719611,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,209,179,639,172,0,0,0,0,-1,-1,-1,-1
1599578903987.bmp,1617795719633,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,209,179,639,172,0,0,0,0,-1,-1,-1,-1
1599578904020.bmp,1617795719655,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,209,179,639,172,0,0,0,0,-1,-1,-1,-1
1599578904053.bmp,1617795719677,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,209,179,639,172,0,0,0,0,-1,-1,-1,-1
1599578904087.bmp,1617795719699,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,209,179,639,172,0,0,0,0,-1,-1,-1,-1
1599578904120.bmp,1617795719721,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,209,179,639,172,0,0,0,0,-1,-1,-1,-1
1599578904144.bmp,1617795719743,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,209,179,639,172,0,0,0,0,-1,-1,-1,-1
1599578904187.bmp,1617795719765,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,209,179,639,172,0,0,0,0,-1,-1,-1,-1
1599578904220.bmp,1617795719787,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,209,179,639,172,0,0,0,0,-1,-1,-1,-1
1599578904253.bmp,1617795719809,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,209,179,639,172,0,0,0,0,-1,-1,-1,-1
1599578904287.bmp,1617795719831,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,209,179,639,172,0,0,0,0,-1,-1,-1,-1
1599578904320.bmp,1617795719853,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,209,179,639,172,0,0,0,0,-1,-1,-1,-1
1599578904353.bmp,1617795719875,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,209,179,639,172,0,0,0,0,-1,-1,-1,-1
1599578904387.bmp,1617795719897,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,209,179,639,172,0,0,0,0,-1,-1,-1,-1
1599578904420.bmp,1617795719919,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,209,179,639,172,0,0,0,0,-1,-1,-1,-1
1599578904453.bmp,1617795719941,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,209,179,639,172,0,0,0,0,-1,-1,-1,-1
1599578904477.bmp,1617795719963,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,209,179,639,172,0,0,0,0,-1,-1,-1,-1
1599578904520.bmp,1617795719985,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,209,179,639,172,0,0,0,0,-1,-1,-1,-1
1599578904553.bmp,1617795720007,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,209,179,639,172,0,0,0,0,-1,-1,-1,-1
1599578904577.bmp,1617795720029,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,209,179,639,172,0,0,0,0,-1,-1,-1,-1
1599578904620.bmp,1617795720051,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,209,179,639,172,0,0,0,0,-1,-1,-1,-1
1599578904653.bmp,1617795720073,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,209,179,639,172,0,0,0,0,-1,-1,-1,-1
1599578904677.bmp,1617795720095,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,209,179,639,172,0,0,0,0,-1,-1,-1,-1
1599578904720.bmp,1617795720117,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,209,179,639,172,0,0,0,0,-1,-1,-1,-1
1599578904753.bmp,1617795720139,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,209,179,639,172,0,0,0,0,-1,-1,-1,-1
1599578904787.bmp,1617795720161,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,209,179,639,172,0,0,0,0,-1,-1,-1,-1
1599578904811.bmp,1617795720183,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,209,179,639,172,0,0,0,0,-1,-1,-1,-1
1599578904853.bmp,1617795720205,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,209,179,639,172,0,0,0,0,-1,-1,-1,-1
1599578904877.bmp,1617795720227,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,209,179,639,172,0,0,0,0,-1,-1,-1,-1
1599578904920.bmp,1617795720249,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,209,179,639,172,0,0,0,0,-1,-1,-1,-1
1599578904953.bmp,1617795720271,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,209,179,639,172,0,0,0,0,-1,-1,-1,-1
1599578904987.bmp,1617795720293,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,209,179,639,172,0,0,0,0,-1,-1,-1,-1
1599578905011.bmp,1617795720315,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,209,179,639,172,0,0,0,0,-1,-1,-1,-1
1599578905053.bmp,1617795720337,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,209,179,639,172,0,0,0,0,-1,-1,-1,-1
1599578905087.bmp,1617795720359,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,209,179,639,172,0,0,0,0,-1,-1,-1,-1
1599578905111.bmp,1617795720381,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,209,179,639,172,0,0,0,0,-1,-1,-1,-1
1599578905153.bmp,1617795720403,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,209,179,639,172,0,0,0,0,-1,-1,-1,-1
1599578905187.bmp,1617795720425,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,209,179,639,172,0,0,0,0,-1,-1,-1,-1
1599578905220.bmp,1617795720447,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,209,179,639,172,0,0,0,0,-1,-1,-1,-1
1599578905244.bmp,1617795720469,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,209,179,639,172,0,0,0,0,-1,-1,-1,-1
1599578905287.bmp,1617795720491,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,209,179,639,172,0,0,0,0,-1,-1,-1,-1
1599578905320.bmp,1617795720513,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,209,179,639,172,0,0,0,0,-1,-1,-1,-1
1599578905353.bmp,1617795720535,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,209,179,639,172,0,0,0,0,-1,-1,-1,-1
1599578905387.bmp,1617795720557,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,209,179,639,172,0,0,0,0,-1,-1,-1,-1
1599578905420.bmp,1617795720579,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,209,179,639,172,0,0,0,0,-1,-1,-1,-1
1599578905453.bmp,1617795720601,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,209,179,639,172,0,0,0,0,-1,-1,-1,-1
1599578905477.bmp,1617795720623,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,209,179,639,172,0,0,0,0,-1,-1,-1,-1
1599578905520.bmp,1617795720645,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,209,179,639,172,0,0,0,0,-1,-1,-1,-1
1599578905553.bmp,1617795720667,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,209,179,639,172,0,0,0,0,-1,-1,-1,-1
1599578905587.bmp,1617795720689,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,209,179,639,172,0,0,0,0,-1,-1,-1,-1
1599578905620.bmp,1617795720711,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,209,179,639,172,0,0,0,0,-1,-1,-1,-1
1599578905653.bmp,1617795720733,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,209,179,639,172,0,0,0,0,-1,-1,-1,-1
1599578905677.bmp,1617795720755,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,209,179,639,172,0,0,0,0,-1,-1,-1,-1
1599578905720.bmp,1617795720777,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,209,179,639,172,0,0,0,0,-1,-1,-1,-1
1599578905753.bmp,1617795720799,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,209,179,639,172,0,0,0,0,-1,-1,-1,-1
1599578905787.bmp,1617795720821,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,209,179,639,172,0,0,0,0,-1,-1,-1,-1
1599578905820.bmp,1617795720843,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,209,179,639,172,0,0,0,0,-1,-1,-1,-1
1599578905844.bmp,1617795720865,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,209,179,639,172,0,0,0,0,-1,-1,-1,-1
1599578905877.bmp,1617795720887,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,209,179,639,172,0,0,0,0,-1,-1,-1,-1
1599578905920.bmp,1617795720909,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,209,179,639,172,0,0,0,0,-1,-1,-1,-1
1599578905953.bmp,1617795720931,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,209,179,639,172,0,0,0,0,-1,-1,-1,-1
