filename,timestamp_ms,algorithm,diameterMain_px,diameterSec_px,undistortedDiameterMain_px,undistortedDiameterSec_px,physicalDiameter_mm,widthMain_px,heightMain_px,axisRatioMain,widthSec_px,heightSec_px,axisRatioSec,centerMain_x,centerMain_y,centerSec_x,centerSec_y,angleMain_deg,angleSec_deg,circumferenceMain_px,circumferenceSec_px,confidenceMain,outlineConfidenceMain,confidenceSec,outlineConfidenceSec
1599579195468.bmp,1617796002949,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,182,189,619,162,0,0,0,0,-1,-1,-1,-1
1599579195502.bmp,1617796002971,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,182,189,619,162,0,0,0,0,-1,-1,-1,-1
1599579195535.bmp,1617796002993,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,182,189,619,162,0,0,0,0,-1,-1,-1,-1
1599579195568.bmp,1617796003015,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,182,189,619,162,0,0,0,0,-1,-1,-1,-1
1599579195602.bmp,1617796003037,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,182,189,619,162,0,0,0,0,-1,-1,-1,-1
1599579195635.bmp,1617796003059,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,182,189,619,162,0,0,0,0,-1,-1,-1,-1
1599579195668.bmp,1617796003081,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,182,189,619,162,0,0,0,0,-1,-1,-1,-1
1599579195702.bmp,1617796003103,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,182,189,619,162,0,0,0,0,-1,-1,-1,-1
1599579195735.bmp,1617796003125,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,182,189,619,162,0,0,0,0,-1,-1,-1,-1
1599579195768.bmp,1617796003147,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,182,189,619,162,0,0,0,0,-1,-1,-1,-1
1599579195802.bmp,1617796003169,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,182,189,619,162,0,0,0,0,-1,-1,-1,-1
1599579195835.bmp,1617796003191,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,182,189,619,162,0,0,0,0,-1,-1,-1,-1
1599579195868.bmp,1617796003213,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,182,189,619,162,0,0,0,0,-1,-1,-1,-1
1599579195902.bmp,1617796003235,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,182,189,619,162,0,0,0,0,-1,-1,-1,-1
1599579195924.bmp,1617796003257,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,182,189,619,162,0,0,0,0,-1,-1,-1,-1
1599579195968.bmp,1617796003279,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,182,189,619,162,0,0,0,0,-1,-1,-1,-1
