filename,timestamp_ms,algorithm,diameterMain_px,diameterSec_px,undistortedDiameterMain_px,undistortedDiameterSec_px,physicalDiameter_mm,widthMain_px,heightMain_px,axisRatioMain,widthSec_px,heightSec_px,axisRatioSec,centerMain_x,centerMain_y,centerSec_x,centerSec_y,angleMain_deg,angleSec_deg,circumferenceMain_px,circumferenceSec_px,confidenceMain,outlineConfidenceMain,confidenceSec,outlineConfidenceSec
1599579489668.bmp,1617796295892,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,186,162,636,172,0,0,0,0,-1,-1,-1,-1
1599579489702.bmp,1617796295914,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,186,162,636,172,0,0,0,0,-1,-1,-1,-1
1599579489735.bmp,1617796295936,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,186,162,636,172,0,0,0,0,-1,-1,-1,-1
1599579489768.bmp,1617796295958,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,186,162,636,172,0,0,0,0,-1,-1,-1,-1
1599579489802.bmp,1617796295980,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,186,162,636,172,0,0,0,0,-1,-1,-1,-1
1599579489835.bmp,1617796296002,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,186,162,636,172,0,0,0,0,-1,-1,-1,-1
1599579489855.bmp,1617796296024,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,186,162,636,172,0,0,0,0,-1,-1,-1,-1
1599579489902.bmp,1617796296046,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,186,162,636,172,0,0,0,0,-1,-1,-1,-1
1599579489935.bmp,1617796296068,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,186,162,636,172,0,0,0,0,-1,-1,-1,-1
1599579489968.bmp,1617796296090,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,186,162,636,172,0,0,0,0,-1,-1,-1,-1
1599579490002.bmp,1617796296112,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,186,162,636,172,0,0,0,0,-1,-1,-1,-1
1599579490035.bmp,1617796296134,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,186,162,636,172,0,0,0,0,-1,-1,-1,-1
1599579490068.bmp,1617796296156,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,186,162,636,172,0,0,0,0,-1,-1,-1,-1
1599579490102.bmp,1617796296178,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,186,162,636,172,0,0,0,0,-1,-1,-1,-1
1599579490122.bmp,1617796296200,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,186,162,636,172,0,0,0,0,-1,-1,-1,-1
1599579490168.bmp,1617796296222,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,186,162,636,172,0,0,0,0,-1,-1,-1,-1
1599579490202.bmp,1617796296244,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,186,162,636,172,0,0,0,0,-1,-1,-1,-1
1599579490235.bmp,1617796296266,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,186,162,636,172,0,0,0,0,-1,-1,-1,-1
1599579490268.bmp,1617796296288,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,186,162,636,172,0,0,0,0,-1,-1,-1,-1
1599579490288.bmp,1617796296310,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,186,162,636,172,0,0,0,0,-1,-1,-1,-1
1599579490335.bmp,1617796296332,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,186,162,636,172,0,0,0,0,-1,-1,-1,-1
1599579490368.bmp,1617796296354,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,186,162,636,172,0,0,0,0,-1,-1,-1,-1
1599579490402.bmp,1617796296376,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,186,162,636,172,0,0,0,0,-1,-1,-1,-1
1599579490422.bmp,1617796296398,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,186,162,636,172,0,0,0,0,-1,-1,-1,-1
1599579490455.bmp,1617796296420,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,186,162,636,172,0,0,0,0,-1,-1,-1,-1
1599579490502.bmp,1617796296442,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,186,162,636,172,0,0,0,0,-1,-1,-1,-1
1599579490535.bmp,1617796296464,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,186,162,636,172,0,0,0,0,-1,-1,-1,-1
1599579490568.bmp,1617796296486,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,186,162,636,172,0,0,0,0,-1,-1,-1,-1
1599579490602.bmp,1617796296508,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,186,162,636,172,0,0,0,0,-1,-1,-1,-1
1599579490635.bmp,1617796296530,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,186,162,636,172,0,0,0,0,-1,-1,-1,-1
1599579490668.bmp,1617796296552,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,186,162,636,172,0,0,0,0,-1,-1,-1,-1
1599579490702.bmp,1617796296574,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,186,162,636,172,0,0,0,0,-1,-1,-1,-1
1599579490722.bmp,1617796296596,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,186,162,636,172,0,0,0,0,-1,-1,-1,-1
1599579490768.bmp,1617796296618,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,186,162,636,172,0,0,0,0,-1,-1,-1,-1
1599579490802.bmp,1617796296640,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,186,162,636,172,0,0,0,0,-1,-1,-1,-1
1599579490835.bmp,1617796296662,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,186,162,636,172,0,0,0,0,-1,-1,-1,-1
1599579490868.bmp,1617796296684,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,186,162,636,172,0,0,0,0,-1,-1,-1,-1
1599579490902.bmp,1617796296706,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,186,162,636,172,0,0,0,0,-1,-1,-1,-1
1599579490935.bmp,1617796296728,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,186,162,636,172,0,0,0,0,-1,-1,-1,-1
1599579490968.bmp,1617796296750,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,186,162,636,172,0,0,0,0,-1,-1,-1,-1
1599579491002.bmp,1617796296772,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,186,162,636,172,0,0,0,0,-1,-1,-1,-1
1599579491035.bmp,1617796296794,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,186,162,636,172,0,0,0,0,-1,-1,-1,-1
1599579491068.bmp,1617796296816,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,186,162,636,172,0,0,0,0,-1,-1,-1,-1
1599579491102.bmp,1617796296838,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,186,162,636,172,0,0,0,0,-1,-1,-1,-1
1599579491122.bmp,1617796296860,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,186,162,636,172,0,0,0,0,-1,-1,-1,-1
1599579491168.bmp,1617796296882,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,186,162,636,172,0,0,0,0,-1,-1,-1,-1
1599579491202.bmp,1617796296904,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,186,162,636,172,0,0,0,0,-1,-1,-1,-1
1599579491235.bmp,1617796296926,Starburst,0,0,-1,-1,-1,0,0,nan,0,0,nan,186,162,636,172,0,0,0,0,-1,-1,-1,-1
