filename,timestamp_ms,algorithm,diameterMain_px,diameterSec_px,undistortedDiameterMain_px,undistortedDiameterSec_px,physicalDiameter_mm,widthMain_px,heightMain_px,axisRatioMain,widthSec_px,heightSec_px,axisRatioSec,centerMain_x,centerMain_y,centerSec_x,centerSec_y,angleMain_deg,angleSec_deg,circumferenceMain_px,circumferenceSec_px,confidenceMain,outlineConfidenceMain,confidenceSec,outlineConfidenceSec
1599577799772.bmp,1617804893168,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,226,186,639,148,0,0,0,0,-1,-1,-1,-1
1599577799805.bmp,1617804893190,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,226,186,639,148,0,0,0,0,-1,-1,-1,-1
1599577799838.bmp,1617804893212,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,226,186,639,148,0,0,0,0,-1,-1,-1,-1
1599577799872.bmp,1617804893234,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,226,186,639,148,0,0,0,0,-1,-1,-1,-1
1599577799905.bmp,1617804893256,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,226,186,639,148,0,0,0,0,-1,-1,-1,-1
1599577799938.bmp,1617804893278,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,226,186,639,148,0,0,0,0,-1,-1,-1,-1
1599577799972.bmp,1617804893300,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,226,186,639,148,0,0,0,0,-1,-1,-1,-1
1599577800005.bmp,1617804893322,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,226,186,639,148,0,0,0,0,-1,-1,-1,-1
1599577800038.bmp,1617804893344,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,226,186,639,148,0,0,0,0,-1,-1,-1,-1
1599577800072.bmp,1617804893366,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,226,186,639,148,0,0,0,0,-1,-1,-1,-1
