filename,timestamp_ms,algorithm,diameterMain_px,diameterSec_px,undistortedDiameterMain_px,undistortedDiameterSec_px,physicalDiameter_mm,widthMain_px,heightMain_px,axisRatioMain,widthSec_px,heightSec_px,axisRatioSec,centerMain_x,centerMain_y,centerSec_x,centerSec_y,angleMain_deg,angleSec_deg,circumferenceMain_px,circumferenceSec_px,confidenceMain,outlineConfidenceMain,confidenceSec,outlineConfidenceSec
1599578281923.bmp,1617805188002,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,199,196,608,175,0,0,0,0,-1,-1,-1,-1
1599578281951.bmp,1617805188024,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,199,196,608,175,0,0,0,0,-1,-1,-1,-1
1599578281990.bmp,1617805188046,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,199,196,608,175,0,0,0,0,-1,-1,-1,-1
1599578282023.bmp,1617805188068,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,199,196,608,175,0,0,0,0,-1,-1,-1,-1
1599578282051.bmp,1617805188090,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,199,196,608,175,0,0,0,0,-1,-1,-1,-1
1599578282090.bmp,1617805188112,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,199,196,608,175,0,0,0,0,-1,-1,-1,-1
1599578282123.bmp,1617805188134,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,199,196,608,175,0,0,0,0,-1,-1,-1,-1
1599578282151.bmp,1617805188156,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,199,196,608,175,0,0,0,0,-1,-1,-1,-1
1599578282190.bmp,1617805188178,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,199,196,608,175,0,0,0,0,-1,-1,-1,-1
1599578282223.bmp,1617805188200,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,199,196,608,175,0,0,0,0,-1,-1,-1,-1
1599578282256.bmp,1617805188222,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,199,196,608,175,0,0,0,0,-1,-1,-1,-1
1599578282290.bmp,1617805188244,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,199,196,608,175,0,0,0,0,-1,-1,-1,-1
1599578282323.bmp,1617805188266,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,199,196,608,175,0,0,0,0,-1,-1,-1,-1
1599578282356.bmp,1617805188288,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,199,196,608,175,0,0,0,0,-1,-1,-1,-1
1599578282390.bmp,1617805188310,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,199,196,608,175,0,0,0,0,-1,-1,-1,-1
1599578282423.bmp,1617805188332,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,199,196,608,175,0,0,0,0,-1,-1,-1,-1
1599578282456.bmp,1617805188354,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,199,196,608,175,0,0,0,0,-1,-1,-1,-1
1599578282490.bmp,1617805188376,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,199,196,608,175,0,0,0,0,-1,-1,-1,-1
1599578282523.bmp,1617805188398,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,199,196,608,175,0,0,0,0,-1,-1,-1,-1
1599578282556.bmp,1617805188420,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,199,196,608,175,0,0,0,0,-1,-1,-1,-1
1599578282585.bmp,1617805188442,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,199,196,608,175,0,0,0,0,-1,-1,-1,-1
1599578282623.bmp,1617805188464,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,199,196,608,175,0,0,0,0,-1,-1,-1,-1
1599578282656.bmp,1617805188486,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,199,196,608,175,0,0,0,0,-1,-1,-1,-1
1599578282690.bmp,1617805188508,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,199,196,608,175,0,0,0,0,-1,-1,-1,-1
1599578282723.bmp,1617805188530,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,199,196,608,175,0,0,0,0,-1,-1,-1,-1
1599578282756.bmp,1617805188552,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,199,196,608,175,0,0,0,0,-1,-1,-1,-1
1599578282790.bmp,1617805188574,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,199,196,608,175,0,0,0,0,-1,-1,-1,-1
1599578282823.bmp,1617805188596,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,199,196,608,175,0,0,0,0,-1,-1,-1,-1
1599578282856.bmp,1617805188618,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,199,196,608,175,0,0,0,0,-1,-1,-1,-1
1599578282890.bmp,1617805188640,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,199,196,608,175,0,0,0,0,-1,-1,-1,-1
1599578282923.bmp,1617805188662,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,199,196,608,175,0,0,0,0,-1,-1,-1,-1
1599578282956.bmp,1617805188684,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,199,196,608,175,0,0,0,0,-1,-1,-1,-1
1599578282990.bmp,1617805188706,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,199,196,608,175,0,0,0,0,-1,-1,-1,-1
1599578283018.bmp,1617805188728,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,199,196,608,175,0,0,0,0,-1,-1,-1,-1
1599578283056.bmp,1617805188750,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,199,196,608,175,0,0,0,0,-1,-1,-1,-1
1599578283090.bmp,1617805188772,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,199,196,608,175,0,0,0,0,-1,-1,-1,-1
1599578283123.bmp,1617805188794,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,199,196,608,175,0,0,0,0,-1,-1,-1,-1
1599578283151.bmp,1617805188816,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,199,196,608,175,0,0,0,0,-1,-1,-1,-1
1599578283190.bmp,1617805188838,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,199,196,608,175,0,0,0,0,-1,-1,-1,-1
1599578283223.bmp,1617805188860,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,199,196,608,175,0,0,0,0,-1,-1,-1,-1
1599578283256.bmp,1617805188882,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,199,196,608,175,0,0,0,0,-1,-1,-1,-1
1599578283290.bmp,1617805188904,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,199,196,608,175,0,0,0,0,-1,-1,-1,-1
1599578283323.bmp,1617805188926,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,199,196,608,175,0,0,0,0,-1,-1,-1,-1
1599578283351.bmp,1617805188948,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,199,196,608,175,0,0,0,0,-1,-1,-1,-1
1599578283385.bmp,1617805188970,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,199,196,608,175,0,0,0,0,-1,-1,-1,-1
1599578283423.bmp,1617805188992,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,199,196,608,175,0,0,0,0,-1,-1,-1,-1
1599578283456.bmp,1617805189014,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,199,196,608,175,0,0,0,0,-1,-1,-1,-1
1599578283490.bmp,1617805189036,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,199,196,608,175,0,0,0,0,-1,-1,-1,-1
1599578283523.bmp,1617805189058,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,199,196,608,175,0,0,0,0,-1,-1,-1,-1
1599578283556.bmp,1617805189080,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,199,196,608,175,0,0,0,0,-1,-1,-1,-1
