filename,timestamp_ms,algorithm,diameterMain_px,diameterSec_px,undistortedDiameterMain_px,undistortedDiameterSec_px,physicalDiameter_mm,widthMain_px,heightMain_px,axisRatioMain,widthSec_px,heightSec_px,axisRatioSec,centerMain_x,centerMain_y,centerSec_x,centerSec_y,angleMain_deg,angleSec_deg,circumferenceMain_px,circumferenceSec_px,confidenceMain,outlineConfidenceMain,confidenceSec,outlineConfidenceSec
1599578614462.bmp,1617805536490,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,206,189,636,162,0,0,0,0,-1,-1,-1,-1
1599578614489.bmp,1617805536512,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,206,189,636,162,0,0,0,0,-1,-1,-1,-1
1599578614529.bmp,1617805536534,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,206,189,636,162,0,0,0,0,-1,-1,-1,-1
1599578614562.bmp,1617805536556,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,206,189,636,162,0,0,0,0,-1,-1,-1,-1
1599578614596.bmp,1617805536578,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,206,189,636,162,0,0,0,0,-1,-1,-1,-1
1599578614629.bmp,1617805536600,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,206,189,636,162,0,0,0,0,-1,-1,-1,-1
1599578614662.bmp,1617805536622,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,206,189,636,162,0,0,0,0,-1,-1,-1,-1
1599578614696.bmp,1617805536644,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,206,189,636,162,0,0,0,0,-1,-1,-1,-1
1599578614729.bmp,1617805536666,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,206,189,636,162,0,0,0,0,-1,-1,-1,-1
1599578614762.bmp,1617805536688,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,206,189,636,162,0,0,0,0,-1,-1,-1,-1
1599578614796.bmp,1617805536710,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,206,189,636,162,0,0,0,0,-1,-1,-1,-1
1599578614829.bmp,1617805536732,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,206,189,636,162,0,0,0,0,-1,-1,-1,-1
1599578614862.bmp,1617805536754,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,206,189,636,162,0,0,0,0,-1,-1,-1,-1
1599578614896.bmp,1617805536776,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,206,189,636,162,0,0,0,0,-1,-1,-1,-1
