filename,timestamp_ms,algorithm,diameterMain_px,diameterSec_px,undistortedDiameterMain_px,undistortedDiameterSec_px,physicalDiameter_mm,widthMain_px,heightMain_px,axisRatioMain,widthSec_px,heightSec_px,axisRatioSec,centerMain_x,centerMain_y,centerSec_x,centerSec_y,angleMain_deg,angleSec_deg,circumferenceMain_px,circumferenceSec_px,confidenceMain,outlineConfidenceMain,confidenceSec,outlineConfidenceSec
1599578903820.bmp,1617805825002,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,189,619,162,0,0,0,0,-1,-1,-1,-1
1599578903853.bmp,1617805825024,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,189,619,162,0,0,0,0,-1,-1,-1,-1
1599578903887.bmp,1617805825046,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,189,619,162,0,0,0,0,-1,-1,-1,-1
1599578903920.bmp,1617805825068,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,189,619,162,0,0,0,0,-1,-1,-1,-1
1599578903953.bmp,1617805825090,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,189,619,162,0,0,0,0,-1,-1,-1,-1
1599578903987.bmp,1617805825112,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,189,619,162,0,0,0,0,-1,-1,-1,-1
1599578904020.bmp,1617805825134,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,189,619,162,0,0,0,0,-1,-1,-1,-1
1599578904053.bmp,1617805825156,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,189,619,162,0,0,0,0,-1,-1,-1,-1
1599578904087.bmp,1617805825178,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,189,619,162,0,0,0,0,-1,-1,-1,-1
1599578904120.bmp,1617805825200,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,189,619,162,0,0,0,0,-1,-1,-1,-1
1599578904144.bmp,1617805825222,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,189,619,162,0,0,0,0,-1,-1,-1,-1
1599578904187.bmp,1617805825244,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,189,619,162,0,0,0,0,-1,-1,-1,-1
1599578904220.bmp,1617805825266,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,189,619,162,0,0,0,0,-1,-1,-1,-1
1599578904253.bmp,1617805825288,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,189,619,162,0,0,0,0,-1,-1,-1,-1
1599578904287.bmp,1617805825310,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,189,619,162,0,0,0,0,-1,-1,-1,-1
1599578904320.bmp,1617805825332,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,189,619,162,0,0,0,0,-1,-1,-1,-1
1599578904353.bmp,1617805825354,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,189,619,162,0,0,0,0,-1,-1,-1,-1
1599578904387.bmp,1617805825376,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,189,619,162,0,0,0,0,-1,-1,-1,-1
1599578904420.bmp,1617805825398,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,189,619,162,0,0,0,0,-1,-1,-1,-1
1599578904453.bmp,1617805825420,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,189,619,162,0,0,0,0,-1,-1,-1,-1
1599578904477.bmp,1617805825442,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,189,619,162,0,0,0,0,-1,-1,-1,-1
1599578904520.bmp,1617805825464,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,189,619,162,0,0,0,0,-1,-1,-1,-1
1599578904553.bmp,1617805825486,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,189,619,162,0,0,0,0,-1,-1,-1,-1
1599578904577.bmp,1617805825508,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,189,619,162,0,0,0,0,-1,-1,-1,-1
1599578904620.bmp,1617805825530,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,189,619,162,0,0,0,0,-1,-1,-1,-1
1599578904653.bmp,1617805825552,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,189,619,162,0,0,0,0,-1,-1,-1,-1
1599578904677.bmp,1617805825574,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,189,619,162,0,0,0,0,-1,-1,-1,-1
1599578904720.bmp,1617805825596,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,189,619,162,0,0,0,0,-1,-1,-1,-1
1599578904753.bmp,1617805825618,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,189,619,162,0,0,0,0,-1,-1,-1,-1
1599578904787.bmp,1617805825640,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,189,619,162,0,0,0,0,-1,-1,-1,-1
1599578904811.bmp,1617805825662,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,189,619,162,0,0,0,0,-1,-1,-1,-1
1599578904853.bmp,1617805825684,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,189,619,162,0,0,0,0,-1,-1,-1,-1
1599578904877.bmp,1617805825706,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,189,619,162,0,0,0,0,-1,-1,-1,-1
1599578904920.bmp,1617805825728,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,189,619,162,0,0,0,0,-1,-1,-1,-1
1599578904953.bmp,1617805825750,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,189,619,162,0,0,0,0,-1,-1,-1,-1
1599578904987.bmp,1617805825772,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,189,619,162,0,0,0,0,-1,-1,-1,-1
1599578905011.bmp,1617805825794,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,189,619,162,0,0,0,0,-1,-1,-1,-1
1599578905053.bmp,1617805825816,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,189,619,162,0,0,0,0,-1,-1,-1,-1
1599578905087.bmp,1617805825838,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,189,619,162,0,0,0,0,-1,-1,-1,-1
1599578905111.bmp,1617805825860,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,189,619,162,0,0,0,0,-1,-1,-1,-1
1599578905153.bmp,1617805825882,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,189,619,162,0,0,0,0,-1,-1,-1,-1
1599578905187.bmp,1617805825904,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,196,189,619,162,0,0,0,0,-1,-1,-1,-1
