filename,timestamp_ms,algorithm,diameterMain_px,diameterSec_px,undistortedDiameterMain_px,undistortedDiameterSec_px,physicalDiameter_mm,widthMain_px,heightMain_px,axisRatioMain,widthSec_px,heightSec_px,axisRatioSec,centerMain_x,centerMain_y,centerSec_x,centerSec_y,angleMain_deg,angleSec_deg,circumferenceMain_px,circumferenceSec_px,confidenceMain,outlineConfidenceMain,confidenceSec,outlineConfidenceSec
1599579195468.bmp,1617806113675,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579195502.bmp,1617806113697,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579195535.bmp,1617806113719,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579195568.bmp,1617806113741,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579195602.bmp,1617806113763,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579195635.bmp,1617806113785,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579195668.bmp,1617806113807,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579195702.bmp,1617806113829,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579195735.bmp,1617806113851,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579195768.bmp,1617806113873,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579195802.bmp,1617806113895,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579195835.bmp,1617806113917,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579195868.bmp,1617806113939,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579195902.bmp,1617806113961,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579195924.bmp,1617806113983,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579195968.bmp,1617806114005,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579195990.bmp,1617806114027,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579196035.bmp,1617806114049,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579196068.bmp,1617806114071,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579196102.bmp,1617806114093,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579196124.bmp,1617806114115,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579196168.bmp,1617806114137,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579196190.bmp,1617806114159,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579196235.bmp,1617806114181,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579196268.bmp,1617806114203,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579196302.bmp,1617806114225,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579196324.bmp,1617806114247,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579196368.bmp,1617806114269,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579196402.bmp,1617806114291,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579196435.bmp,1617806114313,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579196468.bmp,1617806114335,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579196502.bmp,1617806114357,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579196535.bmp,1617806114379,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579196568.bmp,1617806114401,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579196590.bmp,1617806114423,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579196635.bmp,1617806114445,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579196668.bmp,1617806114467,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579196702.bmp,1617806114489,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579196724.bmp,1617806114511,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579196757.bmp,1617806114533,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579196790.bmp,1617806114555,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579196835.bmp,1617806114577,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579196868.bmp,1617806114599,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579196902.bmp,1617806114621,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579196935.bmp,1617806114643,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579196968.bmp,1617806114665,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579197002.bmp,1617806114687,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579197035.bmp,1617806114709,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579197057.bmp,1617806114731,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579197102.bmp,1617806114753,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579197135.bmp,1617806114775,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579197168.bmp,1617806114797,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579197202.bmp,1617806114819,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579197235.bmp,1617806114841,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579197268.bmp,1617806114863,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579197302.bmp,1617806114885,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579197335.bmp,1617806114907,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579197368.bmp,1617806114929,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579197402.bmp,1617806114951,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579197435.bmp,1617806114973,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579197468.bmp,1617806114995,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579197502.bmp,1617806115017,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579197535.bmp,1617806115039,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579197568.bmp,1617806115061,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579197602.bmp,1617806115083,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579197635.bmp,1617806115105,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579197668.bmp,1617806115127,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579197702.bmp,1617806115149,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579197735.bmp,1617806115171,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579197768.bmp,1617806115193,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579197802.bmp,1617806115215,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579197835.bmp,1617806115237,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579197868.bmp,1617806115259,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579197902.bmp,1617806115281,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579197935.bmp,1617806115303,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579197968.bmp,1617806115325,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579198002.bmp,1617806115347,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579198024.bmp,1617806115369,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579198068.bmp,1617806115391,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579198102.bmp,1617806115413,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579198135.bmp,1617806115435,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579198168.bmp,1617806115457,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579198202.bmp,1617806115479,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579198235.bmp,1617806115501,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579198268.bmp,1617806115523,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579198302.bmp,1617806115545,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579198335.bmp,1617806115567,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579198368.bmp,1617806115589,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579198390.bmp,1617806115611,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
1599579198435.bmp,1617806115633,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,189,199,629,165,0,0,0,0,-1,-1,-1,-1
