filename,timestamp_ms,algorithm,diameterMain_px,diameterSec_px,undistortedDiameterMain_px,undistortedDiameterSec_px,physicalDiameter_mm,widthMain_px,heightMain_px,axisRatioMain,widthSec_px,heightSec_px,axisRatioSec,centerMain_x,centerMain_y,centerSec_x,centerSec_y,angleMain_deg,angleSec_deg,circumferenceMain_px,circumferenceSec_px,confidenceMain,outlineConfidenceMain,confidenceSec,outlineConfidenceSec
1599579489668.bmp,1617806501668,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,216,196,595,162,0,0,0,0,-1,-1,-1,-1
1599579489702.bmp,1617806501690,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,216,196,595,162,0,0,0,0,-1,-1,-1,-1
1599579489735.bmp,1617806501712,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,216,196,595,162,0,0,0,0,-1,-1,-1,-1
1599579489768.bmp,1617806501734,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,216,196,595,162,0,0,0,0,-1,-1,-1,-1
1599579489802.bmp,1617806501756,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,216,196,595,162,0,0,0,0,-1,-1,-1,-1
1599579489835.bmp,1617806501778,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,216,196,595,162,0,0,0,0,-1,-1,-1,-1
1599579489855.bmp,1617806501800,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,216,196,595,162,0,0,0,0,-1,-1,-1,-1
1599579489902.bmp,1617806501822,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,216,196,595,162,0,0,0,0,-1,-1,-1,-1
1599579489935.bmp,1617806501844,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,216,196,595,162,0,0,0,0,-1,-1,-1,-1
1599579489968.bmp,1617806501866,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,216,196,595,162,0,0,0,0,-1,-1,-1,-1
1599579490002.bmp,1617806501888,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,216,196,595,162,0,0,0,0,-1,-1,-1,-1
1599579490035.bmp,1617806501910,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,216,196,595,162,0,0,0,0,-1,-1,-1,-1
1599579490068.bmp,1617806501932,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,216,196,595,162,0,0,0,0,-1,-1,-1,-1
1599579490102.bmp,1617806501954,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,216,196,595,162,0,0,0,0,-1,-1,-1,-1
1599579490122.bmp,1617806501976,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,216,196,595,162,0,0,0,0,-1,-1,-1,-1
1599579490168.bmp,1617806501998,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,216,196,595,162,0,0,0,0,-1,-1,-1,-1
1599579490202.bmp,1617806502020,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,216,196,595,162,0,0,0,0,-1,-1,-1,-1
1599579490235.bmp,1617806502042,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,216,196,595,162,0,0,0,0,-1,-1,-1,-1
1599579490268.bmp,1617806502064,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,216,196,595,162,0,0,0,0,-1,-1,-1,-1
1599579490288.bmp,1617806502086,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,216,196,595,162,0,0,0,0,-1,-1,-1,-1
1599579490335.bmp,1617806502108,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,216,196,595,162,0,0,0,0,-1,-1,-1,-1
1599579490368.bmp,1617806502130,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,216,196,595,162,0,0,0,0,-1,-1,-1,-1
1599579490402.bmp,1617806502152,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,216,196,595,162,0,0,0,0,-1,-1,-1,-1
1599579490422.bmp,1617806502174,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,216,196,595,162,0,0,0,0,-1,-1,-1,-1
1599579490455.bmp,1617806502196,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,216,196,595,162,0,0,0,0,-1,-1,-1,-1
1599579490502.bmp,1617806502218,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,216,196,595,162,0,0,0,0,-1,-1,-1,-1
1599579490535.bmp,1617806502240,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,216,196,595,162,0,0,0,0,-1,-1,-1,-1
1599579490568.bmp,1617806502262,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,216,196,595,162,0,0,0,0,-1,-1,-1,-1
1599579490602.bmp,1617806502284,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,216,196,595,162,0,0,0,0,-1,-1,-1,-1
1599579490635.bmp,1617806502306,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,216,196,595,162,0,0,0,0,-1,-1,-1,-1
1599579490668.bmp,1617806502328,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,216,196,595,162,0,0,0,0,-1,-1,-1,-1
1599579490702.bmp,1617806502350,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,216,196,595,162,0,0,0,0,-1,-1,-1,-1
1599579490722.bmp,1617806502372,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,216,196,595,162,0,0,0,0,-1,-1,-1,-1
1599579490768.bmp,1617806502394,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,216,196,595,162,0,0,0,0,-1,-1,-1,-1
1599579490802.bmp,1617806502416,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,216,196,595,162,0,0,0,0,-1,-1,-1,-1
1599579490835.bmp,1617806502438,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,216,196,595,162,0,0,0,0,-1,-1,-1,-1
1599579490868.bmp,1617806502460,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,216,196,595,162,0,0,0,0,-1,-1,-1,-1
1599579490902.bmp,1617806502482,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,216,196,595,162,0,0,0,0,-1,-1,-1,-1
1599579490935.bmp,1617806502504,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,216,196,595,162,0,0,0,0,-1,-1,-1,-1
1599579490968.bmp,1617806502526,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,216,196,595,162,0,0,0,0,-1,-1,-1,-1
1599579491002.bmp,1617806502548,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,216,196,595,162,0,0,0,0,-1,-1,-1,-1
1599579491035.bmp,1617806502570,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,216,196,595,162,0,0,0,0,-1,-1,-1,-1
1599579491068.bmp,1617806502592,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,216,196,595,162,0,0,0,0,-1,-1,-1,-1
1599579491102.bmp,1617806502614,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,216,196,595,162,0,0,0,0,-1,-1,-1,-1
1599579491122.bmp,1617806502636,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,216,196,595,162,0,0,0,0,-1,-1,-1,-1
1599579491168.bmp,1617806502658,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,216,196,595,162,0,0,0,0,-1,-1,-1,-1
1599579491202.bmp,1617806502680,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,216,196,595,162,0,0,0,0,-1,-1,-1,-1
1599579491235.bmp,1617806502702,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,216,196,595,162,0,0,0,0,-1,-1,-1,-1
1599579491268.bmp,1617806502724,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,216,196,595,162,0,0,0,0,-1,-1,-1,-1
1599579491302.bmp,1617806502746,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,216,196,595,162,0,0,0,0,-1,-1,-1,-1
1599579491335.bmp,1617806502768,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,216,196,595,162,0,0,0,0,-1,-1,-1,-1
1599579491368.bmp,1617806502790,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,216,196,595,162,0,0,0,0,-1,-1,-1,-1
1599579491402.bmp,1617806502812,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,216,196,595,162,0,0,0,0,-1,-1,-1,-1
1599579491435.bmp,1617806502834,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,216,196,595,162,0,0,0,0,-1,-1,-1,-1
1599579491468.bmp,1617806502856,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,216,196,595,162,0,0,0,0,-1,-1,-1,-1
1599579491502.bmp,1617806502878,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,216,196,595,162,0,0,0,0,-1,-1,-1,-1
1599579491535.bmp,1617806502900,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,216,196,595,162,0,0,0,0,-1,-1,-1,-1
1599579491568.bmp,1617806502922,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,216,196,595,162,0,0,0,0,-1,-1,-1,-1
1599579491602.bmp,1617806502944,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,216,196,595,162,0,0,0,0,-1,-1,-1,-1
1599579491635.bmp,1617806502966,Swirski2D,0,0,-1,-1,-1,0,0,nan,0,0,nan,216,196,595,162,0,0,0,0,-1,-1,-1,-1
