filename,timestamp[ms],diameter[px],diameterSec[px],physicaldiameter[mm],width[px],height[px],widthSec[px],heightSec[px],center_x,center_y,center_xSec,center_ySec,angle[deg],angleSec[deg],circumference[px],circumferenceSec[px],confidence,outline_confidence,confidenceSec,outline_confidenceSec
1603365074469.bmp,1603482873365,111,113,4.99224,108,111,106,113,1114.44,481.172,700.745,511.087,6.07265,177.823,344.021,344.092,1,1,1,1
1603365074502.bmp,1603482873385,111,113,4.99547,107,111,106,113,1113.96,480.938,700.389,511.096,6.56137,178.449,342.462,344.092,1,1,1,1
1603365074536.bmp,1603482873405,111,113,4.99556,107,111,106,113,1113.46,480.972,699.826,511.036,177.818,177.204,342.462,344.092,1,1,1,1
1603365074567.bmp,1603482873425,111,113,4.99508,108,111,106,113,1113.82,481.417,700.265,511.482,4.54989,177.699,344.021,344.092,1,1,1,1
1603365074602.bmp,1603482873445,111,113,4.98922,108,111,106,113,1113.81,481.717,700.181,511.83,6.024,179.291,344.021,344.092,1,1,1,1
1603365074636.bmp,1603482873465,111,113,4.99036,108,111,106,113,1113.7,481.985,700.002,511.921,1.73408,178.198,344.021,344.092,1,1,1,1
1603365074667.bmp,1603482873485,111,113,4.98261,108,111,106,113,1113.6,481.84,699.976,511.9,179.231,177.597,344.021,344.092,1,1,1,1
1603365074702.bmp,1603482873505,111,107,4.87454,108,111,105,107,1113.68,482.018,700.621,507.547,2.56287,125.976,344.021,333.016,1,1,1,1
1603365074736.bmp,1603482873525,111,113,4.99536,108,111,106,113,1113.18,481.99,699.628,511.95,8.20584,0.600838,344.021,344.092,1,1,1,1
1603365074769.bmp,1603482873545,111,113,4.99828,107,111,106,113,1112.96,481.6,699.073,511.487,179.738,177.035,342.462,344.092,1,1,1,1
1603365074802.bmp,1603482873565,111,112,4.98676,108,111,106,112,1112.68,481.707,698.869,511.677,179.473,177.811,344.021,342.498,1,1,1,1
1603365074836.bmp,1603482873585,111,112,4.98594,108,111,106,112,1112.49,481.625,698.815,511.592,2.21348,178.006,344.021,342.498,1,1,1,1
1603365074869.bmp,1603482873605,111,113,4.99752,108,111,106,113,1112.51,481.812,698.803,511.8,3.36888,179.575,344.021,344.092,1,1,1,1
1603365074902.bmp,1603482873625,111,113,4.98922,108,111,106,113,1112.92,481.919,699.3,512.016,6.64524,178.093,344.021,344.092,1,1,1,1
1603365074936.bmp,1603482873645,111,113,4.99627,108,111,106,113,1113.14,482.35,699.493,512.387,179.787,176.436,344.021,344.092,1,1,1,1
1603365074969.bmp,1603482873665,111,113,4.99529,108,111,106,113,1113,482.512,699.386,512.438,3.9022,177.392,344.021,344.092,1,1,1,1
1603365075002.bmp,1603482873685,111,112,4.98939,108,111,106,112,1113.14,482.643,699.583,512.698,4.79209,1.22777,344.021,342.498,1,1,1,1
1603365075036.bmp,1603482873705,111,113,4.98017,108,111,106,113,1113.32,482.995,699.791,513.007,8.54372,176.916,344.021,344.092,1,1,1,1
1603365075069.bmp,1603482873725,110,113,4.97947,108,110,106,113,1113.11,483.067,699.598,513.006,9.6371,176.855,342.441,344.092,1,1,1,1
1603365075102.bmp,1603482873745,111,113,4.99123,108,111,106,113,1112.9,482.839,699.379,512.877,7.14974,176.387,344.021,344.092,1,1,1,1
1603365075136.bmp,1603482873765,111,113,4.99661,108,111,106,113,1112.95,482.694,699.484,512.77,7.49926,178.568,344.021,344.092,1,1,1,1
1603365075169.bmp,1603482873785,111,113,4.99786,108,111,106,113,1113.13,482.719,699.487,512.708,6.70476,176.59,344.021,344.092,1,1,1,1
1603365075202.bmp,1603482873805,111,113,4.99331,108,111,106,113,1113.34,482.579,699.58,512.558,3.06995,176.737,344.021,344.092,1,1,1,1
1603365075236.bmp,1603482873825,111,113,4.9994,108,111,106,113,1113.43,482.722,699.894,512.896,9.42581,179.032,344.021,344.092,1,1,1,1
1603365075269.bmp,1603482873845,111,113,4.99095,108,111,106,113,1113.34,482.539,699.676,512.523,5.32356,177.711,344.021,344.092,1,1,1,1
1603365075302.bmp,1603482873865,111,113,4.98913,108,111,106,113,1113.37,482.5,699.757,512.578,3.15472,0.0596299,344.021,344.092,1,1,1,1
1603365075336.bmp,1603482873885,111,113,5.00189,108,111,106,113,1113.37,482.42,699.493,512.387,3.65833,176.436,344.021,344.092,1,1,1,1
1603365075369.bmp,1603482873905,111,113,5.00315,108,111,106,113,1113.39,482.2,699.684,512.173,4.31636,176.836,344.021,344.092,1,1,1,1
1603365075402.bmp,1603482873925,111,113,4.98419,108,111,106,113,1113.53,481.903,699.846,511.847,1.07998,177.557,344.021,344.092,1,1,1,1
1603365075436.bmp,1603482873945,111,113,4.99465,108,111,106,113,1113.52,482.086,699.691,511.9,179.134,179.792,344.021,344.092,1,1,1,1
1603365075467.bmp,1603482873965,111,113,4.99419,108,111,106,113,1113.42,482.337,699.691,512.285,6.35704,176.959,344.021,344.092,1,1,1,1
1603365075502.bmp,1603482873985,111,113,4.99841,108,111,106,113,1113.69,482.34,699.854,512.086,4.65474,179.22,344.021,344.092,1,1,1,1
1603365075536.bmp,1603482874005,111,113,4.9952,108,111,106,113,1113.77,482.268,700.074,512.139,2.15361,176.236,344.021,344.092,1,1,1,1
1603365075569.bmp,1603482874025,111,113,4.99726,108,111,106,113,1114.03,482.218,700.395,512.323,0.768393,177.913,344.021,344.092,1,1,1,1
1603365075602.bmp,1603482874045,111,113,5.0018,107,111,106,113,1114.48,482.68,700.668,512.623,177.481,177.425,342.462,344.092,1,1,1,1
1603365075633.bmp,1603482874065,111,113,5.00443,107,111,106,113,1114.54,482.754,700.713,512.736,178.983,178.378,342.462,344.092,1,1,1,1
1603365075667.bmp,1603482874085,111,113,5.00375,108,111,106,113,1114.71,482.702,700.815,512.684,6.30826,177.271,344.021,344.092,1,1,1,1
1603365075700.bmp,1603482874105,111,113,4.99737,107,111,106,113,1114.47,482.375,700.766,512.502,4.25627,178.25,342.462,344.092,1,1,1,1
1603365075736.bmp,1603482874125,111,113,4.99867,107,111,106,113,1114.55,482.334,700.692,512.42,1.74185,177.183,342.462,344.092,1,1,1,1
1603365075769.bmp,1603482874145,111,113,4.99347,108,111,106,113,1114.72,482.327,701.005,512.329,3.15257,178.437,344.021,344.092,1,1,1,1
1603365075802.bmp,1603482874165,111,113,4.99987,108,111,106,113,1114.88,482.521,701.17,512.33,3.0444,178.583,344.021,344.092,1,1,1,1
